profile,mode,n_seeds,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,avg_steps_mean,avg_steps_ci_lo,avg_steps_ci_hi,avg_dev_mean,avg_dev_ci_lo,avg_dev_ci_hi,avg_energy_mean,avg_energy_ci_lo,avg_energy_ci_hi,avg_wasted_mean,avg_wasted_ci_lo,avg_wasted_ci_hi
custom3,ql_false,5,0.03428571428571429,0.02571428571428571,0.04428571428571428,19.592857142857145,19.455535714285713,19.701428571428572,52.761428571428574,51.62857142857143,54.10285714285715,242.63857142857142,232.73714285714286,252.53999999999996,19.517142857142858,19.402785714285713,19.615714285714283
custom3,ql_true,5,0.23285714285714287,0.09571428571428572,0.36571428571428577,16.884285714285713,15.154285714285715,18.668571428571425,45.85142857142857,43.837142857142865,47.96,166.65285714285716,137.87285714285716,195.43285714285713,16.747142857142858,15.01142857142857,18.542857142857144
custom3,rule_based,5,0.17857142857142858,0.17857142857142858,0.17857142857142858,17.142857142857142,17.142857142857142,17.142857142857142,68.25,68.25,68.25,123.99714285714285,122.92714285714285,125.56285714285714,16.795714285714286,16.774285714285714,16.815714285714286
custom5,ql_false,5,0.022857142857142857,0.014285714285714285,0.030000000000000006,19.68,19.50857142857143,19.815714285714286,50.51571428571428,48.424285714285716,52.452857142857134,301.68,289.50714285714287,311.71999999999997,19.61,19.43285714285714,19.749999999999996
custom5,ql_true,5,0.09714285714285714,0.06857142857142857,0.13428571428571429,18.50857142857143,17.93857142857143,18.945714285714285,41.26714285714286,39.82714285714286,42.35142857142857,217.4557142857143,211.23571428571432,224.4957142857143,18.402857142857144,17.821428571428573,18.851428571428574
custom5,rule_based,5,0.25,0.25,0.25,15.964285714285714,15.964285714285714,15.964285714285714,60.71428571428571,60.71428571428571,60.71428571428571,153.05428571428573,152.48857142857142,153.62,15.568571428571428,15.537142857142857,15.595714285714285
custom9,ql_false,5,0.11285714285714285,0.09,0.1357142857142857,18.287142857142857,17.90142857142857,18.68285714285714,45.71857142857143,43.23428571428572,47.63285714285714,146.52285714285713,140.17714285714288,152.0557142857143,18.207142857142856,17.81142857142857,18.614285714285714
custom9,ql_true,5,0.12,0.09,0.14714285714285713,18.015714285714285,17.524285714285714,18.507142857142856,54.94857142857143,52.12571428571429,57.34142857142857,111.98142857142857,101.6,123.93142857142857,17.922857142857143,17.48857142857143,18.357142857142854
custom9,rule_based,5,0.25,0.25,0.25,15.642857142857142,15.642857142857142,15.642857142857142,70.07142857142857,70.07142857142857,70.07142857142857,78.43714285714286,78.02571428571427,78.84857142857143,15.252857142857144,15.215714285714284,15.302857142857144
