source_run_id,run_mode,domain,profile,metric,contrast,classification,n_paired,mean_difference,median_difference,ci_lo_bootstrap,ci_hi_bootstrap,p_signflip_two_sided,p_sign_exact_two_sided,paired_rank_biserial,context_q,context_family_m
29848589682,phase1_v2_baseline,benchmark,lab3,avg_wasted,ql_true_minus_ql_false,registered_control,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848589682,phase1_v2_baseline,benchmark,lab1,avg_cycling,ql_true_minus_ql_false,registered_control,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848589682,phase1_v2_baseline,benchmark,lab2,avg_cycling,ql_true_minus_ql_false,registered_control,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848589682,phase1_v2_baseline,benchmark,lab3,avg_cycling,ql_true_minus_ql_false,registered_control,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848589682,phase1_v2_baseline,benchmark,lab1,avg_redundant,ql_true_minus_ql_false,registered_control,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848589682,phase1_v2_baseline,benchmark,lab2,avg_redundant,ql_true_minus_ql_false,registered_control,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848589682,phase1_v2_baseline,benchmark,lab3,avg_redundant,ql_true_minus_ql_false,registered_control,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848584965,phase1_v2_kg_only,training,lab1,auc_goal,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12
29848584965,phase1_v2_kg_only,training,lab1,auc_reward,ql_true_minus_ql_false,registered_descriptive,20,0.002033333333335463,0.0,0.0004333333333342004,0.003850000000002769,0.0283203125,0.266845703125,0.7142857142857143,0.06796875,12
29848584965,phase1_v2_kg_only,training,lab1,episodes_to_threshold,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12
