profile,metric,recovery_tier,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
labmon_f1dead,RecoveryEpisodes,confirmatory,10,53.0,59.2,-6.2,-8.5,-4.2,0.0,1.0,0.001953125,-0.86,True,0.0,1
labmon_f1dead,DetectEpisode,,10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,1.0,1
