profile,mode,n_replicas,n_goals_total,overall_compliance_mean,overall_compliance_ci_lo,overall_compliance_ci_hi,tight_compliance_mean,tight_compliance_ci_lo,tight_compliance_ci_hi,loose_compliance_mean,loose_compliance_ci_lo,loose_compliance_ci_hi,total_energy_mean,total_energy_ci_lo,total_energy_ci_hi,mean_actual_delay_mean,mean_actual_delay_ci_lo,mean_actual_delay_ci_hi
lab2_slow,ql_false,10,6,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,60.16666666666667,60.0,60.41666666666667
lab2_slow,ql_true,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.0,3.3,32.83333333333333,32.583333333333336,33.08333333333333
lab3_slow,ql_false,10,6,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,60.583333333333336,60.25,60.91666666666667
lab3_slow,ql_true,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.1,4.0,32.916666666666664,32.583333333333336,33.33333333333333
