profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab1,pbrs_on,10,35.55,25.8,45.3
lab2,pbrs_on,10,1275.9364994780203,1261.2713065834687,1291.763879001482
lab3,pbrs_on,10,1386.421253291249,1370.8701360628684,1400.9154547914716
