profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab4chain3,pbrs_on,10,1.5166666666666666,1.2833333333333334,1.75
labband,pbrs_on,10,1.0699999999999998,1.02,1.1199999999999999
labrel0,pbrs_on,10,1.0,1.0,1.0
labrel16,pbrs_on,10,1.3,1.15,1.45
labrel4,pbrs_on,10,1.0,1.0,1.0
labrel8,pbrs_on,10,1.1,1.0,1.25
labrel8s,pbrs_on,10,1.25,1.1,1.4
