profile,mode,n_seeds,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,avg_steps_mean,avg_steps_ci_lo,avg_steps_ci_hi,avg_dev_mean,avg_dev_ci_lo,avg_dev_ci_hi,avg_policy_energy_mean,avg_policy_energy_ci_lo,avg_policy_energy_ci_hi,avg_legacy_wallclock_energy_mean,avg_legacy_wallclock_energy_ci_lo,avg_legacy_wallclock_energy_ci_hi,avg_wasted_mean,avg_wasted_ci_lo,avg_wasted_ci_hi,avg_cycling_mean,avg_cycling_ci_lo,avg_cycling_ci_hi,avg_redundant_mean,avg_redundant_ci_lo,avg_redundant_ci_hi
lab4chain3,ql_false,10,1.0,1.0,1.0,1.7625,1.575,1.9875,2.6625,2.1,3.3375,2.0,1.6,2.462812499999995,4.415,3.2774375,5.742499999999999,0.0,0.0,0.0,1.7625,1.575,1.9875,1.7625,1.575,1.9875
lab4chain3,ql_true,10,1.0,1.0,1.0,1.7625,1.575,1.9875,2.6625,2.1,3.3375,2.0,1.6,2.462812499999995,4.255000000000001,3.1525000000000007,5.572562499999999,0.0,0.0,0.0,1.7625,1.575,1.9875,1.7625,1.575,1.9875
lab4chain3,rule_based,10,1.0,1.0,1.0,1.5,1.5,1.5,1.875,1.875,1.875,1.25,1.25,1.25,2.87,2.7999375,2.9349999999999996,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5
labband,ql_false,10,0.9875,0.96875,1.0,1.6125,1.34,1.9050312499999995,0.9137500000000001,0.6325000000000001,1.2225,2.1412500000000003,1.49875,2.80375,11.750000000000002,10.247406250000001,13.29375,0.45125000000000004,0.19871875000000003,0.7512812499999997,1.1612500000000001,1.0675,1.2550000000000001,1.6125,1.34,1.9050312499999995
labband,ql_true,10,0.9875,0.96875,1.0,1.6125,1.34,1.9050312499999995,0.9137500000000001,0.6325000000000001,1.2225,2.1412500000000003,1.49875,2.80375,11.7775,10.31496875,13.3,0.45125000000000004,0.19871875000000003,0.7512812499999997,1.1612500000000001,1.0675,1.2550000000000001,1.6125,1.34,1.9050312499999995
labband,rule_based,10,0.4375,0.4375,0.4375,11.4375,11.4375,11.4375,15.0,15.0,15.0,11.1875,11.1875,11.1875,32.1525,31.880000000000003,32.485,0.0,0.0,0.0,11.4375,11.4375,11.4375,11.4375,11.4375,11.4375
labrel0,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.47,4.4,4.540000000000001,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel0,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.7,4.5,4.930000000000001,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel0,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.7,4.54,4.88,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.79,4.65,4.95,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.5600000000000005,4.45,4.68,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.55,4.43,4.669999999999999,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.459999999999999,4.270000000000001,4.66,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.6899999999999995,4.5,4.88,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.479999999999999,4.3100000000000005,4.66,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.550000000000001,4.4,4.6899999999999995,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.45,4.28,4.64,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.45,4.359999999999999,4.56,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8s,ql_false,10,1.0,1.0,1.0,0.6,0.5,0.75,0.3,0.0,0.75,0.7,0.5,1.0,5.08,4.5,5.790000000000001,0.0,0.0,0.0,0.6,0.5,0.75,0.6,0.5,0.75
labrel8s,ql_true,10,1.0,1.0,1.0,0.6,0.5,0.75,0.3,0.0,0.75,0.7,0.5,1.0,5.09,4.58,5.720000000000001,0.0,0.0,0.0,0.6,0.5,0.75,0.6,0.5,0.75
labrel8s,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.7,4.529999999999999,4.9,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
