profile,metric,recovery_tier,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
labmon2_f2dead_lowsun,RecoveryEpisodes,confirmatory,10,218.4,366.9,-148.5,-208.1025,-81.09500000000007,0.0,1.0,0.005859375,-0.75,True,0.0,1
labmon2_f2dead_lowsun,DetectEpisode,,10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,1.0,1
