StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,2,1,2,1,1,332,1,0,2,0,2
1,2,1,4,1,2,3,2,0,2,315,1
2,4,1,1,4,3,305,2,1,2,0,1
3,0,0,0,12,0,0,0,0,0,0,0
8,1,32,0,0,0,0,0,0,0,0,0
16,0,0,15,0,0,0,0,0,0,0,0
24,1,0,16,0,0,0,0,0,0,0,0
649,0,0,0,14,0,0,0,0,0,0,0
657,0,0,0,0,0,0,0,0,0,10,0
1284,0,0,1,1,0,0,1,3,1,0,0
1285,0,0,0,0,0,5,0,0,0,0,1
1286,0,0,0,0,1,0,0,5,0,0,0
1287,0,1,0,0,0,0,1,0,0,2,0
1290,1,7,0,0,2,0,1,0,0,0,1
1292,1,1,1,1,2,38,0,1,1,0,0
1293,0,0,0,1,0,0,0,0,0,4,1
1298,0,0,0,0,1,13,0,0,0,0,0
1300,1,1,1,1,1,4,0,1,1,0,2
1301,0,0,0,0,0,0,0,0,1,6,0
1305,0,0,0,0,1,41,0,1,0,0,0
1308,0,0,1,1,1,4,0,0,0,0,0
1309,11,0,0,0,1,0,0,0,0,0,0
1419,0,0,0,17,0,0,0,0,7,0,1
1422,0,0,0,0,0,16,1,0,0,0,0
1440,1,0,0,9,1,0,0,1,0,0,0
1441,4,2,2,2,1,312,23,4,3,3,2
1442,0,0,0,9,0,0,5,0,0,0,1
1443,0,0,0,0,0,9,0,0,0,0,1
1444,0,0,0,0,1,1,68,0,0,0,0
1445,0,0,0,6,0,0,0,0,1,0,0
1446,0,0,0,0,0,0,72,0,1,0,0
1447,1,0,0,0,0,2,0,0,0,69,1
1448,2,0,0,1,0,0,1,132,0,0,0
1449,0,0,0,0,1,12,0,0,0,0,1
1450,0,0,0,0,0,10,0,0,0,0,0
1452,0,0,0,0,0,0,0,1,0,99,0
1456,0,0,0,0,0,21,1,0,1,1,1
1457,0,14,1,0,0,0,0,0,0,0,0
1460,2,0,0,0,0,1,0,0,1,26,1
1464,0,1,0,0,0,0,0,0,1,105,0
1465,0,0,0,0,0,10,0,0,0,0,0
1468,0,1,0,1,0,0,0,0,0,58,0
1811,0,0,1,0,0,0,0,24,0,0,1
1814,1,0,0,0,60,0,0,0,0,0,0
1856,2,4,2,0,5,77,5,4,2,329,4
1857,2,0,1,304,5,7,4,1,1,2,1
1858,2,2,6,2,2,1,1,1,1,332,1
1859,0,0,0,9,0,0,0,0,0,0,0
1860,1,1,0,0,0,1,1,0,1,16,1
1861,1,0,115,0,1,0,0,0,1,0,1
1862,0,1,2,0,0,40,1,0,0,3,0
1863,0,0,7,2,0,0,0,0,0,0,0
1864,0,0,0,12,0,1,0,0,0,0,0
1865,0,11,0,0,0,0,0,0,0,0,0
1868,1,0,0,0,0,0,0,0,0,49,0
1872,0,1,0,159,1,0,1,0,0,0,0
1873,0,372,1,1,1,7,2,0,3,0,1
1874,1,0,23,0,0,0,0,0,0,0,1
1876,0,0,9,0,0,0,0,0,0,0,0
1880,0,1,1,0,1,0,0,1,1,22,0
1881,0,0,1,12,0,1,53,1,0,0,0
1884,0,0,7,0,0,0,0,0,0,0,0
