ActionLabel,SunBucket,Sum,N
SetSpotlight=OFF,0,1.0,399
SetSpotlight=OFF,1,3.0,15
SetSpotlight=OFF,2,2.0,5
SetSpotlight=ON,0,346.0,360
SetSpotlight=ON,1,338.0,356
SetSpotlight=ON,2,342.0,357
SetSpotlight=ON,3,8.0,8
SetZ1Blinds=OFF,0,0.0,120
SetZ1Blinds=OFF,1,0.0,49
SetZ1Blinds=OFF,2,2.0,65
SetZ1Blinds=OFF,3,1.0,2
SetZ1Blinds=ON,0,0.0,17
SetZ1Blinds=ON,1,3.0,49
SetZ1Blinds=ON,2,8.0,393
SetZ1Blinds=ON,3,0.0,14
SetZ1Light=OFF,0,16.0,18
SetZ1Light=OFF,1,6.0,10
SetZ1Light=OFF,2,21.0,24
SetZ1Light=OFF,3,1.0,1
SetZ1Light=ON,0,418.0,426
SetZ1Light=ON,1,66.0,71
SetZ1Light=ON,2,332.0,347
SetZ1Light=ON,3,1.0,7
SetZ2Blinds=OFF,0,0.0,84
SetZ2Blinds=OFF,1,0.0,173
SetZ2Blinds=OFF,2,0.0,202
SetZ2Blinds=ON,0,0.0,5
SetZ2Blinds=ON,1,1.0,475
SetZ2Blinds=ON,2,6.0,205
SetZ2Blinds=ON,3,0.0,19
SetZ2Light=OFF,0,27.0,40
SetZ2Light=OFF,1,6.0,10
SetZ2Light=OFF,2,5.0,7
SetZ2Light=OFF,3,1.0,2
SetZ2Light=ON,0,432.0,432
SetZ2Light=ON,1,663.0,668
SetZ2Light=ON,2,4.0,23
SetZ2Light=ON,3,10.0,26
