profile,mode,n_runs,defect_component,well_posed_recovery,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.0,0,0.0,115.0,90.7,144.4,3.2,2.6,3.8
lab1_f1dead,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.0,0,0.0,179.2,152.0,207.0,3.4,2.9,3.9
lab2_f1dead,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,0.5,10,5,0.07,0,0.0,271.6,232.2,315.2,5.4,3.8,7.1
lab2_f1dead,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.055,0,0.0,481.1,413.2,550.7,4.1,3.4,5.0
lab2_f1inv,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,0.5,10,5,0.05,0,0.0,479.0,213.2,836.4,6.5,4.8,8.2
lab2_f1inv,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.035,0,0.0,491.3,404.9,577.2075,4.4,3.7,5.1
lab2_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.05,0,0.0,nan,nan,nan,6.3,4.7,7.9
lab2_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.055,0,0.0,nan,nan,nan,4.6,4.1,5.0
lab2_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.005,0,0.0,nan,nan,nan,5.6,4.5,6.8
lab2_f2inv,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.005,0,0.0,nan,nan,nan,4.8,3.6,6.1
lab3_f1dead,ql_false,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.925,10,1.0,694.9,268.2975,1454.5,25.2,12.0,46.6
lab3_f1dead,ql_true,10,http://example.org/was#SetZ1Light,True,1.0,0.9,10,9,0.92,9,0.9,144.55555555555554,123.11111111111111,169.22222222222223,43.6,27.1,63.8
lab3_f1inv,ql_false,10,http://example.org/was#SetZ1Light,True,1.0,0.9,10,9,0.44,2,0.2,367.6666666666667,311.21944444444443,425.78333333333325,12.1,8.8,15.7
lab3_f1inv,ql_true,10,http://example.org/was#SetZ1Light,True,1.0,0.9,10,9,0.41,2,0.2,715.2222222222222,318.44166666666666,1386.5611111111111,132.2,92.3,176.0
lab3_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.4,10,4,0.33,0,0.0,2214.25,1420.0,3008.5,12.0,10.9,13.3
lab3_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,1.0,10,10,0.345,1,0.1,2042.0,1834.9975,2263.105,9.6,8.4,10.7
lab3_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.21,0,0.0,nan,nan,nan,10.6,7.2,14.6
lab3_f2inv,ql_true,10,http://example.org/was#SetSpotlight;http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.26,0,0.0,nan,nan,nan,8.3,5.9,10.9
