profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f1dead,RecoveryEpisodes,9,144.55555555555554,328.6666666666667,-184.11111111111111,-281.0,-87.22222222222223,0.0,1.0,0.00390625,-0.8518518518518519,True,0.0,2
lab3_f1inv,RecoveryEpisodes,9,715.2222222222222,367.6666666666667,347.55555555555554,-68.5611111111111,1049.011111111111,0.294,0.147,0.5703125,0.20987654320987653,False,0.294,2
lab1_f1dead,DetectEpisode,10,3.4,3.2,0.2,-0.7,1.0,0.7104,0.3552,0.6171875,0.12,False,0.7104,9
lab2_f1dead,DetectEpisode,10,4.1,5.4,-1.3,-2.7,0.0,0.0722,0.9753,0.171875,-0.21,True,0.12996000000000002,9
lab2_f1inv,DetectEpisode,10,4.4,6.5,-2.1,-3.9,-0.4,0.0112,0.9969,0.06640625,-0.48,True,0.0504,9
lab2_f2dead,DetectEpisode,10,4.6,6.3,-1.7,-3.3024999999999975,-0.1,0.0472,0.9821,0.1484375,-0.32,True,0.1062,9
lab2_f2inv,DetectEpisode,10,4.8,5.6,-0.8,-2.6,1.0,0.4344,0.809,0.45703125,-0.22,True,0.4887,9
lab3_f1dead,DetectEpisode,10,43.6,25.2,18.4,-13.8,47.1,0.2414,0.1207,0.193359375,0.58,False,0.36210000000000003,9
lab3_f1inv,DetectEpisode,10,132.2,12.1,120.1,78.89750000000001,165.3,0.0,0.0,0.001953125,0.99,False,0.0,9
lab3_f2dead,DetectEpisode,10,9.6,12.0,-2.4,-4.6,-0.4,0.0178,0.9938,0.0859375,-0.55,True,0.0534,9
lab3_f2inv,DetectEpisode,10,8.3,10.6,-2.3,-7.502499999999998,1.4,0.3894,0.8189,1.0,-0.18,True,0.4887,9
