profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f1dead,RecoveryEpisodes,9,133.66666666666666,260.44444444444446,-126.77777777777777,-187.0,-76.0,0.0,1.0,0.00390625,-0.8271604938271605,True,0.0,2
lab3_f1inv,RecoveryEpisodes,9,420.3333333333333,272.77777777777777,147.55555555555554,36.43888888888889,277.77777777777777,0.0086,0.0043,0.0390625,0.5802469135802469,False,0.0086,2
lab1_f1dead,DetectEpisode,10,3.4,3.7,-0.3,-1.4,0.8,0.6518,0.7342,0.5703125,-0.1,True,0.6518,9
lab2_f1dead,DetectEpisode,10,3.9,5.8,-1.9,-3.8,-0.3,0.0206,0.9932,0.0859375,-0.54,True,0.03708,9
lab2_f1inv,DetectEpisode,10,3.7,6.2,-2.5,-4.1,-0.9,0.004,0.999,0.03125,-0.65,True,0.009000000000000001,9
lab2_f2dead,DetectEpisode,10,3.8,5.6,-1.8,-3.5,-0.1,0.0396,0.9856,0.107421875,-0.4,True,0.05940000000000001,9
lab2_f2inv,DetectEpisode,10,4.8,5.6,-0.8,-2.4,0.8,0.3748,0.8411,0.359375,-0.26,True,0.4818857142857143,9
lab3_f1dead,DetectEpisode,10,58.4,24.9,33.5,12.2,56.6,0.0018,0.0009,0.048828125,0.54,False,0.005399999999999999,9
lab3_f1inv,DetectEpisode,10,152.1,26.1,126.0,74.5975,192.3,0.0,0.0,0.001953125,0.98,False,0.0,9
lab3_f2dead,DetectEpisode,10,9.7,10.3,-0.6,-2.2,0.9,0.5112,0.7832,0.58984375,-0.12,True,0.5751,9
lab3_f2inv,DetectEpisode,10,5.5,10.2,-4.7,-6.7,-2.8,0.0,1.0,0.00390625,-0.81,True,0.0,9
