registered_cell,metric,n_paired,seeds_paired,mean_ql_true,mean_ql_false,mean_paired_difference,median_paired_difference,ci_lo_bootstrap,ci_hi_bootstrap,p_signflip_two_sided,p_sign_exact_two_sided,paired_rank_biserial,q_signflip_bh_m8,bh_family_m,censored_ql_true,censored_ql_false
lab3_f1dead,DetectEpisode,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,4001.0,1804.05,2196.95,3986.0,1396.95,2997.15,0.0009765625,0.0009765625,1.0,0.00390625,8,20,9
lab3_f1inv,DetectEpisode,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,0.0,0.05,-0.05,0.0,-0.15,0.0,1.0,1.0,-1.0,1.0,8,0,0
lab3_f1dead_z2,DetectEpisode,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,4001.0,3.15,3997.85,4000.0,3995.65,3999.75,1.9073486328125e-06,1.9073486328125e-06,1.0,1.52587890625e-05,8,20,0
lab3_f1inv_z2,DetectEpisode,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8,0,0
lab3_f1bdead,DetectEpisode,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8,0,0
lab3_f1binv,DetectEpisode,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8,0,0
lab2_f1bdead,DetectEpisode,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8,0,0
lab2_f1binv,DetectEpisode,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8,0,0
