profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab3_f1inv_z2,ql_false,10,phase2_ext_results/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,descriptive,1.0,0.9,10,9,0.375,1,0.1,0.0,0,,,1585.2222222222222,1122.6666666666667,1979.8055555555552,3.9,0.9,8.5
lab3_f1inv_z2,ql_true,10,phase2_ext_results/recovery_root,http://example.org/was#SetZ2Light,True,descriptive,1.0,1.0,10,10,0.325,0,0.0,0.0,0,,,1447.1,989.995,1844.0,0.9,0.0,1.9
lab3_f2dead,ql_false,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,0.8,10,8,0.37,0,0.0,0.0,0,,,2861.125,2621.25,3124.75,0.0,0.0,0.0
lab3_f2dead,ql_true,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,0.8,10,8,0.36,0,0.0,0.0,0,,,2167.75,1918.35625,2416.125,0.0,0.0,0.0
lab3_f2dead_lowsun,ql_false,10,phase2_lowsun_results/run_28866807391/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,134.3,107.6,163.10249999999996,0.0,0.0,0.0
lab3_f2dead_lowsun,ql_true,10,phase2_lowsun_results/run_28866807391/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,69.4,59.0,80.2,0.0,0.0,0.0
lab3_f2inv,ql_false,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,0.0,10,0,0.195,0,0.0,0.0,0,,,nan,nan,nan,0.0,0.0,0.0
lab3_f2inv,ql_true,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,0.0,10,0,0.2,0,0.0,0.0,0,,,nan,nan,nan,0.0,0.0,0.0
labmon2_f2dead_lowsun,ql_false,10,phase2_lowsun_results/run_28884717500/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.925,10,1.0,1.0,10,2,3,366.9,341.9,392.10249999999996,0.0,0.0,0.0
labmon2_f2dead_lowsun,ql_true,10,phase2_lowsun_results/run_28884717500/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.99,10,1.0,1.0,10,2,3,218.4,165.9,279.4024999999999,0.0,0.0,0.0
labmon_f1dead,ql_false,10,labmon_ci_results/phase2-consolidated/recovery_root,http://example.org/was#SetZ1Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,0.0,0,,,59.2,57.6,61.2,0.0,0.0,0.0
labmon_f1dead,ql_true,10,labmon_ci_results/phase2-consolidated/recovery_root,http://example.org/was#SetZ1Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,0.0,0,,,53.0,51.4,55.0,0.0,0.0,0.0
