profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,lower_is_better,p_bootstrap,p_wilcoxon,cliffs_delta,ql_true_better,q_bootstrap_bh,bh_family_m
lab4,goal_rate,10,1.0,0.99875,0.0012499999999999955,0.0,0.003749999999999987,False,0.6934,1.0,0.1,True,0.6934,10
lab4,energy_compliance,10,1.0,0.99875,0.0012499999999999955,0.0,0.003749999999999987,False,0.6934,1.0,0.1,True,0.6934,10
lab4dual,goal_rate,10,1.0,0.97875,0.02124999999999998,0.007499999999999984,0.03749999999999999,False,0.0,0.015625,0.7,True,0.0,10
lab4dual,energy_compliance,10,1.0,0.97875,0.02124999999999998,0.007499999999999984,0.03749999999999999,False,0.0,0.015625,0.7,True,0.0,10
lab4chain,goal_rate,10,1.0,0.9899999999999999,0.009999999999999986,0.0037499999999999977,0.016249999999999987,False,0.0,0.03125,0.6,True,0.0,10
lab4chain,energy_compliance,10,1.0,0.9899999999999999,0.009999999999999986,0.0037499999999999977,0.016249999999999987,False,0.0,0.03125,0.6,True,0.0,10
lab5,goal_rate,10,0.975,0.9925,-0.017500000000000005,-0.04125000000000001,0.007499999999999995,False,0.2194,0.375,-0.24,False,0.27425,10
lab5,energy_compliance,10,0.75,0.69375,0.05625,0.025,0.095,False,0.0,0.015625,0.56,True,0.0,10
lab5,mean_steady_power,10,1.13125,1.6475000000000002,-0.51625,-0.7125,-0.31375000000000003,True,0.0,0.00390625,-0.91,True,0.0,10
lab5,over_budget_rate,10,0.23041666666666663,0.3007805907172996,-0.0703639240506329,-0.10744725738396624,-0.035779272151898744,True,0.0,0.0078125,-0.62,True,0.0,10
