profile,mode,n_actuators,n_instantaneous,n_delayed,slowest_label,slowest_learned_ticks,ground_truth_ticks,abs_err_ticks,rel_err_pct,mean_instant_ticks,mean_delayed_ticks
lab2_slow,ql_false,4,2,2,SetZ2Blinds=ON,12.1125,12,0.1125,0.94,1.1375,12.1062
lab2_slow,ql_true,4,2,2,SetZ1Blinds=ON,12.1875,12,0.1875,1.56,1.1375,12.1625
lab3_slow,ql_false,5,3,2,SetZ1Blinds=ON,12.2125,12,0.2125,1.77,1.1292,12.1625
lab3_slow,ql_true,5,3,2,SetZ1Blinds=ON,12.2125,12,0.2125,1.77,1.1583,12.1875
