profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab1,pbrs_on,10,34.8,28.05,41.55
lab2,pbrs_on,10,1294.8580729436735,1272.6503807442373,1317.4139960359953
lab3,pbrs_on,10,1326.205815727802,1300.4900391207775,1350.805924542795
