profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab4,pbrs_on,3,1426.908280525935,1398.4332344213647,1480.6979472140763
lab5,pbrs_on,3,1370.0121318126637,1323.2695035460993,1421.1418918918919
