profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab2,pbrs_on,5,1274.1560876562385,1253.2219039043575,1292.0562387065957
lab3,pbrs_on,5,1383.7364300530967,1352.2345042011707,1420.8194337194336
