StateIndex,SetAuxA=OFF,SetAuxA=ON,SetAuxB=OFF,SetAuxB=ON,SetBreaker=OFF,SetBreaker=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,8,13,5,16,3,498,4,4,3,2,9
1,0,10,12,1,2,2,1,1,0,2,2
2,9,3,0,10,1,1,1,1,1,4,2
3,10,0,9,0,0,2,0,1,1,1,3
4,9,6,3,6,6,1,8,4,6,992,2
5,2,1,7,1,1,0,1,1,0,0,1
6,2,0,2,1,1,3,0,4,0,1,1
7,1,0,1,0,1,0,0,0,0,1,1
8,2,4,2,495,3,3,4,1,2,2,2
9,4,5,2,0,4,491,1,2,3,1,6
10,2,0,0,2,1,1,1,0,0,1,1
11,0,0,1,0,0,1,1,0,0,7,0
12,0,0,0,8,1,0,0,0,0,0,1
13,3,2,2,1,3,2,1,4,1,492,3
14,0,0,0,0,1,0,0,0,0,4,0
15,0,0,0,0,2,0,0,0,0,1,1
16,0,2,2,503,1,2,6,1,3,1,1
17,2,2,3,1,0,499,2,3,1,2,2
18,1,0,0,1,0,3,0,0,2,0,1
19,0,0,1,0,0,1,1,1,2,0,0
20,5,7,11,10,5,6,4,1468,7,4,10
21,4,3,3,0,3,1,2,500,0,1,2
22,0,0,0,0,0,1,0,9,1,0,2
23,0,0,0,1,1,0,0,4,0,0,0
24,1,1,0,1,0,1,0,0,0,0,0
25,0,1,0,0,0,4,0,0,1,0,0
26,0,0,0,2,0,0,0,0,0,0,0
27,1,0,0,0,0,10,0,0,0,0,0
