Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
125,0,0.00,0.00,1,0.206071,0,0,2
126,1,200.00,0.00,1,0.205452,0,0,1
127,0,0.00,0.00,1,0.204836,0,0,2
128,1,200.00,0.00,1,0.204222,0,0,1
129,0,0.00,0.00,1,0.203609,0,0,2
130,1,200.00,0.00,1,0.202998,0,0,1
131,0,0.00,0.00,1,0.202389,0,0,2
132,1,200.00,0.00,1,0.201782,0,0,1
133,0,0.00,0.00,1,0.201177,0,0,2
134,1,200.00,0.00,1,0.200573,0,0,1
135,0,0.00,0.00,1,0.199971,0,0,2
136,2,199.00,0.00,1,0.199371,0,1,1
137,0,0.00,0.00,1,0.198773,0,0,2
138,1,200.00,0.00,1,0.198177,0,0,1
139,0,0.00,0.00,1,0.197582,0,0,2
140,1,200.00,0.00,1,0.196990,0,0,1
141,0,0.00,0.00,1,0.196399,0,0,2
142,1,200.00,0.00,1,0.195809,0,0,1
143,0,0.00,0.00,1,0.195222,0,0,2
144,1,200.00,0.00,1,0.194636,0,0,1
145,0,0.00,0.00,1,0.194052,0,0,2
146,1,200.00,0.00,1,0.193470,0,0,1
147,0,0.00,0.00,1,0.192890,0,0,2
148,2,199.00,0.00,1,0.192311,0,1,1
149,0,0.00,0.00,1,0.191734,0,0,2
150,1,200.00,0.00,1,0.191159,0,0,1
151,0,0.00,0.00,1,0.190586,0,0,2
152,1,200.00,0.00,1,0.190014,0,0,1
153,0,0.00,0.00,1,0.189444,0,0,2
154,3,198.00,0.00,1,0.188876,0,0,1
155,0,0.00,0.00,1,0.188309,0,0,2
156,1,200.00,0.00,1,0.187744,0,0,1
157,0,0.00,0.00,1,0.187181,0,0,2
158,1,200.00,0.00,1,0.186619,0,0,1
159,0,0.00,0.00,1,0.186059,0,0,2
160,1,200.00,0.00,1,0.185501,0,0,1
161,0,0.00,0.00,1,0.184945,0,0,2
162,1,200.00,0.00,1,0.184390,0,0,1
163,0,0.00,0.00,1,0.183837,0,0,2
164,1,200.00,0.00,1,0.183285,0,0,1
165,0,0.00,0.00,1,0.182735,0,0,2
166,1,200.00,0.00,1,0.182187,0,0,1
167,0,0.00,0.00,1,0.181641,0,0,2
168,1,200.00,0.00,1,0.181096,0,0,1
169,0,0.00,0.00,1,0.180552,0,0,2
170,1,200.00,0.00,1,0.180011,0,0,1
171,0,0.00,0.00,1,0.179471,0,0,2
172,3,198.00,0.00,1,0.178932,0,0,1
173,0,0.00,0.00,1,0.178395,0,0,2
174,1,200.00,0.00,1,0.177860,0,0,1
175,0,0.00,0.00,1,0.177327,0,0,2
176,1,200.00,0.00,1,0.176795,0,0,1
177,0,0.00,0.00,1,0.176264,0,0,2
178,1,200.00,0.00,1,0.175735,0,0,1
179,0,0.00,0.00,1,0.175208,0,0,2
180,1,200.00,0.00,1,0.174683,0,0,1
181,0,0.00,0.00,1,0.174159,0,0,2
182,1,200.00,0.00,1,0.173636,0,0,1
183,0,0.00,0.00,1,0.173115,0,0,2
184,2,199.00,0.00,1,0.172596,0,1,1
185,0,0.00,0.00,1,0.172078,0,0,2
186,1,200.00,0.00,1,0.171562,0,0,1
187,0,0.00,0.00,1,0.171047,0,0,2
188,1,200.00,0.00,1,0.170534,0,0,1
189,0,0.00,0.00,1,0.170022,0,0,2
190,1,200.00,0.00,1,0.169512,0,0,1
191,0,0.00,0.00,1,0.169004,0,0,2
192,1,200.00,0.00,1,0.168497,0,0,1
193,0,0.00,0.00,1,0.167991,0,0,2
194,1,200.00,0.00,1,0.167487,0,0,1
195,0,0.00,0.00,1,0.166985,0,0,2
196,1,200.00,0.00,1,0.166484,0,0,1
197,0,0.00,0.00,1,0.165984,0,0,2
198,1,200.00,0.00,1,0.165487,0,0,1
199,0,0.00,0.00,1,0.164990,0,0,2
200,1,200.00,0.00,1,0.164495,0,0,1
201,0,0.00,0.00,1,0.164002,0,0,2
202,1,200.00,0.00,1,0.163510,0,0,1
203,0,0.00,0.00,1,0.163019,0,0,2
204,1,200.00,0.00,1,0.162530,0,0,1
205,0,0.00,0.00,1,0.162042,0,0,2
206,1,200.00,0.00,1,0.161556,0,0,1
207,0,0.00,0.00,1,0.161072,0,0,2
208,1,200.00,0.00,1,0.160588,0,0,1
209,0,0.00,0.00,1,0.160107,0,0,2
210,1,200.00,0.00,1,0.159626,0,0,1
211,0,0.00,0.00,1,0.159147,0,0,2
212,1,200.00,0.00,1,0.158670,0,0,1
213,0,0.00,0.00,1,0.158194,0,0,2
214,1,200.00,0.00,1,0.157719,0,0,1
215,0,0.00,0.00,1,0.157246,0,0,2
216,1,200.00,0.00,1,0.156775,0,0,1
217,0,0.00,0.00,1,0.156304,0,0,2
218,1,200.00,0.00,1,0.155835,0,0,1
219,0,0.00,0.00,1,0.155368,0,0,2
220,1,200.00,0.00,1,0.154902,0,0,1
221,0,0.00,0.00,1,0.154437,0,0,2
222,1,200.00,0.00,1,0.153974,0,0,1
223,0,0.00,0.00,1,0.153512,0,0,2
224,1,200.00,0.00,1,0.153051,0,0,1
225,0,0.00,0.00,1,0.152592,0,0,2
226,1,200.00,0.00,1,0.152134,0,0,1
227,0,0.00,0.00,1,0.151678,0,0,2
228,1,200.00,0.00,1,0.151223,0,0,1
229,0,0.00,0.00,1,0.150769,0,0,2
230,1,200.00,0.00,1,0.150317,0,0,1
231,0,0.00,0.00,1,0.149866,0,0,2
232,1,200.00,0.00,1,0.149416,0,0,1
233,0,0.00,0.00,1,0.148968,0,0,2
234,1,200.00,0.00,1,0.148521,0,0,1
235,0,0.00,0.00,1,0.148076,0,0,2
236,2,199.00,0.00,1,0.147631,0,1,1
237,0,0.00,0.00,1,0.147188,0,0,2
238,1,200.00,0.00,1,0.146747,0,0,1
239,0,0.00,0.00,1,0.146307,0,0,2
240,1,200.00,0.00,1,0.145868,0,0,1
241,0,0.00,0.00,1,0.145430,0,0,2
242,2,199.00,0.00,1,0.144994,0,0,1
243,0,0.00,0.00,1,0.144559,0,0,2
244,2,199.00,0.00,1,0.144125,0,0,1
245,0,0.00,0.00,1,0.143693,0,0,2
246,6,195.00,0.00,1,0.143262,0,0,1
247,0,0.00,0.00,1,0.142832,0,0,2
248,1,200.00,0.00,1,0.142403,0,0,1
249,0,0.00,0.00,1,0.141976,0,0,2
250,1,200.00,0.00,1,0.141550,0,0,1
251,0,0.00,0.00,1,0.141126,0,0,2
252,1,200.00,0.00,1,0.140702,0,0,1
253,0,0.00,0.00,1,0.140280,0,0,2
254,1,200.00,0.00,1,0.139859,0,0,1
255,0,0.00,0.00,1,0.139440,0,0,2
256,2,199.00,0.00,1,0.139021,0,1,1
257,0,0.00,0.00,1,0.138604,0,0,2
258,1,200.00,0.00,1,0.138189,0,0,1
259,0,0.00,0.00,1,0.137774,0,0,2
260,1,200.00,0.00,1,0.137361,0,0,1
261,0,0.00,0.00,1,0.136949,0,0,2
262,1,200.00,0.00,1,0.136538,0,0,1
263,0,0.00,0.00,1,0.136128,0,0,2
264,1,200.00,0.00,1,0.135720,0,0,1
265,0,0.00,0.00,1,0.135313,0,0,2
266,1,200.00,0.00,1,0.134907,0,0,1
267,0,0.00,0.00,1,0.134502,0,0,2
268,1,200.00,0.00,1,0.134098,0,0,1
269,0,0.00,0.00,1,0.133696,0,0,2
270,2,199.00,0.00,1,0.133295,0,1,1
271,0,0.00,0.00,1,0.132895,0,0,2
272,1,200.00,0.00,1,0.132496,0,0,1
273,0,0.00,0.00,1,0.132099,0,0,2
274,1,200.00,0.00,1,0.131703,0,0,1
275,0,0.00,0.00,1,0.131308,0,0,2
276,1,200.00,0.00,1,0.130914,0,0,1
277,0,0.00,0.00,1,0.130521,0,0,2
278,1,200.00,0.00,1,0.130129,0,0,1
279,0,0.00,0.00,1,0.129739,0,0,2
280,1,200.00,0.00,1,0.129350,0,0,1
281,0,0.00,0.00,1,0.128962,0,0,2
282,1,200.00,0.00,1,0.128575,0,0,1
283,0,0.00,0.00,1,0.128189,0,0,2
284,3,198.00,0.00,1,0.127805,0,0,1
285,0,0.00,0.00,1,0.127421,0,0,2
286,1,200.00,0.00,1,0.127039,0,0,1
287,0,0.00,0.00,1,0.126658,0,0,2
288,1,200.00,0.00,1,0.126278,0,0,1
289,0,0.00,0.00,1,0.125899,0,0,2
290,1,200.00,0.00,1,0.125521,0,0,1
291,0,0.00,0.00,1,0.125145,0,0,2
292,1,200.00,0.00,1,0.124769,0,0,1
293,0,0.00,0.00,1,0.124395,0,0,2
294,1,200.00,0.00,1,0.124022,0,0,1
295,0,0.00,0.00,1,0.123650,0,0,2
296,1,200.00,0.00,1,0.123279,0,0,1
297,0,0.00,0.00,1,0.122909,0,0,2
298,1,200.00,0.00,1,0.122540,0,0,1
299,0,0.00,0.00,1,0.122173,0,0,2
300,1,200.00,0.00,1,0.121806,0,0,1
301,0,0.00,0.00,1,0.121441,0,0,2
302,1,200.00,0.00,1,0.121076,0,0,1
303,0,0.00,0.00,1,0.120713,0,0,2
304,1,200.00,0.00,1,0.120351,0,0,1
305,0,0.00,0.00,1,0.119990,0,0,2
306,1,200.00,0.00,1,0.119630,0,0,1
307,0,0.00,0.00,1,0.119271,0,0,2
308,1,200.00,0.00,1,0.118913,0,0,1
309,0,0.00,0.00,1,0.118556,0,0,2
310,1,200.00,0.00,1,0.118201,0,0,1
311,0,0.00,0.00,1,0.117846,0,0,2
312,4,197.00,0.00,1,0.117493,0,1,1
313,0,0.00,0.00,1,0.117140,0,0,2
314,1,200.00,0.00,1,0.116789,0,0,1
315,0,0.00,0.00,1,0.116438,0,0,2
316,1,200.00,0.00,1,0.116089,0,0,1
317,0,0.00,0.00,1,0.115741,0,0,2
318,1,200.00,0.00,1,0.115394,0,0,1
319,0,0.00,0.00,1,0.115047,0,0,2
320,1,200.00,0.00,1,0.114702,0,0,1
321,0,0.00,0.00,1,0.114358,0,0,2
322,1,200.00,0.00,1,0.114015,0,0,1
323,0,0.00,0.00,1,0.113673,0,0,2
324,1,200.00,0.00,1,0.113332,0,0,1
325,0,0.00,0.00,1,0.112992,0,0,2
326,1,200.00,0.00,1,0.112653,0,0,1
327,0,0.00,0.00,1,0.112315,0,0,2
328,2,199.00,0.00,1,0.111978,0,1,1
329,0,0.00,0.00,1,0.111642,0,0,2
330,1,200.00,0.00,1,0.111307,0,0,1
331,0,0.00,0.00,1,0.110973,0,0,2
332,1,200.00,0.00,1,0.110640,0,0,1
333,0,0.00,0.00,1,0.110308,0,0,2
334,1,200.00,0.00,1,0.109978,0,0,1
335,0,0.00,0.00,1,0.109648,0,0,2
336,1,200.00,0.00,1,0.109319,0,0,1
337,0,0.00,0.00,1,0.108991,0,0,2
338,1,200.00,0.00,1,0.108664,0,0,1
339,0,0.00,0.00,1,0.108338,0,0,2
340,1,200.00,0.00,1,0.108013,0,0,1
341,0,0.00,0.00,1,0.107689,0,0,2
342,1,200.00,0.00,1,0.107366,0,0,1
343,0,0.00,0.00,1,0.107044,0,0,2
344,1,200.00,0.00,1,0.106722,0,0,1
345,0,0.00,0.00,1,0.106402,0,0,2
346,1,200.00,0.00,1,0.106083,0,0,1
347,0,0.00,0.00,1,0.105765,0,0,2
348,1,200.00,0.00,1,0.105448,0,0,1
349,0,0.00,0.00,1,0.105131,0,0,2
350,1,200.00,0.00,1,0.104816,0,0,1
351,0,0.00,0.00,1,0.104501,0,0,2
352,1,200.00,0.00,1,0.104188,0,0,1
353,0,0.00,0.00,1,0.103875,0,0,2
354,1,200.00,0.00,1,0.103564,0,0,1
355,0,0.00,0.00,1,0.103253,0,0,2
356,1,200.00,0.00,1,0.102943,0,0,1
357,0,0.00,0.00,1,0.102634,0,0,2
358,1,200.00,0.00,1,0.102326,0,0,1
359,0,0.00,0.00,1,0.102019,0,0,2
360,1,200.00,0.00,1,0.101713,0,0,1
361,0,0.00,0.00,1,0.101408,0,0,2
362,1,200.00,0.00,1,0.101104,0,0,1
363,0,0.00,0.00,1,0.100801,0,0,2
364,1,200.00,0.00,1,0.100498,0,0,1
365,0,0.00,0.00,1,0.100197,0,0,2
366,1,200.00,0.00,1,0.099896,0,0,1
367,0,0.00,0.00,1,0.099597,0,0,2
368,1,200.00,0.00,1,0.099298,0,0,1
369,0,0.00,0.00,1,0.099000,0,0,2
370,1,200.00,0.00,1,0.098703,0,0,1
371,0,0.00,0.00,1,0.098407,0,0,2
372,1,200.00,0.00,1,0.098112,0,0,1
373,0,0.00,0.00,1,0.097817,0,0,2
374,1,200.00,0.00,1,0.097524,0,0,1
375,0,0.00,0.00,1,0.097231,0,0,2
376,1,200.00,0.00,1,0.096940,0,0,1
377,0,0.00,0.00,1,0.096649,0,0,2
378,1,200.00,0.00,1,0.096359,0,0,1
379,0,0.00,0.00,1,0.096070,0,0,2
380,1,200.00,0.00,1,0.095781,0,0,1
381,0,0.00,0.00,1,0.095494,0,0,2
382,1,200.00,0.00,1,0.095208,0,0,1
383,0,0.00,0.00,1,0.094922,0,0,2
384,1,200.00,0.00,1,0.094637,0,0,1
385,0,0.00,0.00,1,0.094353,0,0,2
386,1,200.00,0.00,1,0.094070,0,0,1
387,0,0.00,0.00,1,0.093788,0,0,2
388,1,200.00,0.00,1,0.093507,0,0,1
389,0,0.00,0.00,1,0.093226,0,0,2
390,1,200.00,0.00,1,0.092946,0,0,1
391,0,0.00,0.00,1,0.092668,0,0,2
392,1,200.00,0.00,1,0.092390,0,0,1
393,0,0.00,0.00,1,0.092112,0,0,2
394,1,200.00,0.00,1,0.091836,0,0,1
395,0,0.00,0.00,1,0.091561,0,0,2
396,1,200.00,0.00,1,0.091286,0,0,1
397,0,0.00,0.00,1,0.091012,0,0,2
398,1,200.00,0.00,1,0.090739,0,0,1
