StateIndex,SetAirPurifier=OFF,SetAirPurifier=ON,SetCooler=OFF,SetCooler=ON,SetDehumidifier=OFF,SetDehumidifier=ON,SetFan=OFF,SetFan=ON,SetHeater=OFF,SetHeater=ON,SetHumidifier=OFF,SetHumidifier=ON,SetSpeaker=OFF,SetSpeaker=ON,SetWhiteNoiseUnit=OFF,SetWhiteNoiseUnit=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
195,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
227,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
