Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
125,0,0.00,0.00,1,0.206071,0,0,8
126,9,137.00,0.00,1,0.205452,5,3,1
127,3,188.00,0.00,1,0.204836,1,0,2
128,3,188.00,0.00,1,0.204222,1,0,3
129,2,189.00,0.00,1,0.203609,1,0,4
130,3,178.00,0.00,1,0.202998,2,2,6
131,0,0.00,0.00,1,0.202389,0,0,8
132,5,166.00,0.00,1,0.201782,3,2,1
133,3,188.00,0.00,1,0.201177,1,0,2
134,4,187.00,0.00,1,0.200573,1,0,3
135,2,189.00,0.00,1,0.199971,1,0,4
136,1,200.00,0.00,1,0.199371,0,0,6
137,0,0.00,0.00,1,0.198773,0,0,8
138,4,177.00,0.00,1,0.198177,2,1,1
139,4,177.00,0.00,1,0.197582,2,1,2
140,3,188.00,0.00,1,0.196990,1,0,3
141,5,176.00,0.00,1,0.196399,2,1,4
142,1,200.00,0.00,1,0.195809,0,0,6
143,0,0.00,0.00,1,0.195222,0,0,8
144,3,178.00,0.00,1,0.194636,2,0,1
145,3,188.00,0.00,1,0.194052,1,0,2
146,4,182.00,0.00,1,0.193470,1,1,3
147,2,189.00,0.00,1,0.192890,1,0,4
148,1,200.00,0.00,1,0.192311,0,0,6
149,0,0.00,0.00,1,0.191734,0,0,8
150,7,149.00,0.00,1,0.191159,4,1,1
151,3,188.00,0.00,1,0.190586,1,0,2
152,3,188.00,0.00,1,0.190014,1,0,3
153,2,189.00,0.00,1,0.189444,1,0,4
154,1,200.00,0.00,1,0.188876,0,0,6
155,0,0.00,0.00,1,0.188309,0,0,8
156,3,178.00,0.00,1,0.187744,2,0,1
157,3,188.00,0.00,1,0.187181,1,0,2
158,3,188.00,0.00,1,0.186619,1,0,3
159,2,189.00,0.00,1,0.186059,1,0,4
160,1,200.00,0.00,1,0.185501,0,0,6
161,0,0.00,0.00,1,0.184945,0,0,8
162,3,178.00,0.00,1,0.184390,2,0,1
163,3,188.00,0.00,1,0.183837,1,0,2
164,4,177.00,0.00,1,0.183285,2,1,3
165,2,189.00,0.00,1,0.182735,1,0,4
166,1,200.00,0.00,1,0.182187,0,0,6
167,0,0.00,0.00,1,0.181641,0,0,8
168,5,171.00,0.00,1,0.181096,2,2,1
169,3,188.00,0.00,1,0.180552,1,0,2
