StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,0,1,1,1,1,1,3,2,310,2
1,0,1,2,0,2,0,1,304,1,2,1
2,2,2,2,2,2,2,1,304,3,1,2
3,0,0,0,14,1,0,0,0,0,0,0
8,0,0,1,0,0,10,0,0,0,0,0
16,0,0,0,0,1,7,0,0,0,0,0
24,0,11,1,2,1,0,0,0,1,0,1
649,3,1,0,1,3,313,0,1,5,1,5
657,0,0,0,0,0,0,0,9,0,0,0
1284,0,0,1,0,2,0,1,1,0,9,0
1285,0,0,0,1,0,0,0,0,0,6,0
1286,0,0,0,0,0,0,0,0,0,5,0
1287,0,0,0,0,1,5,0,0,0,0,0
1290,2,1,0,313,1,3,2,1,1,2,4
1292,0,0,0,0,0,0,0,1,1,4,1
1293,0,1,0,0,0,2,0,0,0,0,0
1298,0,0,1,1,0,13,1,0,0,0,0
1300,0,0,6,0,0,0,0,0,0,0,0
1301,0,0,0,0,0,0,0,0,0,7,0
1305,0,1,0,0,0,19,0,0,1,0,0
1308,0,0,0,1,0,0,0,1,1,14,1
1309,0,0,0,0,0,0,0,0,1,8,0
1419,0,0,0,0,0,9,0,0,0,0,1
1422,0,0,0,6,0,0,0,0,0,0,0
1440,4,1,2,1,2,321,3,2,2,1,2
1441,0,1,1,1,2,22,1,1,0,38,3
1442,0,0,0,0,0,13,1,0,0,0,0
1443,2,0,0,0,1,0,0,16,0,1,1
1444,0,1,0,1,0,0,165,1,1,0,1
1445,1,0,0,0,0,0,0,11,0,0,0
1446,0,1,0,0,0,0,0,6,0,0,1
1447,7,0,0,0,0,0,0,0,0,0,1
1448,1,0,1,0,2,0,7,28,0,0,0
1449,1,0,1,0,0,0,10,0,0,0,1
1450,0,11,0,0,0,0,1,0,0,0,0
1452,1,0,1,0,2,0,1,1,0,167,0
1456,0,0,0,0,0,0,0,14,0,0,0
1457,0,0,0,0,1,0,233,0,1,0,1
1460,0,0,0,0,0,17,2,10,0,0,1
1464,0,0,1,0,1,21,0,0,1,0,0
1465,0,0,0,1,0,10,1,0,0,0,0
1468,0,0,1,1,0,0,23,0,1,0,0
1811,0,0,0,1,7,0,0,28,0,0,0
1814,0,0,1,0,19,0,0,0,0,0,1
1856,1,2,0,0,3,303,1,1,2,0,0
1857,3,3,2,2,1,0,1,2,2,319,2
1858,0,0,26,0,2,0,1,0,0,12,0
1859,0,1,0,0,0,86,2,0,0,0,2
1860,0,1,0,2,1,0,0,1,1,0,0
1861,0,1,3,0,1,109,1,4,0,0,0
1862,0,0,0,3,0,0,0,0,0,0,1
1863,0,0,0,7,0,27,0,0,0,0,0
1864,1,0,35,0,0,2,1,1,0,16,0
1865,2,347,0,6,1,2,3,4,1,0,3
1868,1,0,0,0,1,0,0,1,1,8,1
1872,0,0,0,1,0,0,0,0,0,21,0
1873,0,0,14,0,0,0,1,0,0,0,0
1874,1,0,0,0,0,0,0,18,0,0,0
1876,0,1,0,0,1,100,0,1,1,0,1
1880,1,0,0,0,0,0,0,0,0,10,1
1881,0,0,32,0,0,0,1,0,0,0,0
1884,0,0,4,0,0,0,0,0,0,0,0
