profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab1,pbrs_on,10,37.65,26.4,53.1
lab2,pbrs_on,10,1292.7947623020389,1279.1014133065423,1305.25417009728
lab3,pbrs_on,10,1402.0169035045938,1375.6332244069026,1425.3598955649002
