profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab1,pbrs_on,10,32.25,24.15,41.85
lab2,pbrs_on,10,1297.589042792665,1278.1812356915173,1316.2916033483714
lab3,pbrs_on,10,1335.1642923564239,1309.854499778691,1356.6276715058434
