StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,7.27,-0.05,2.40,89.50,-1.05,6.27,-0.55,0.00,-0.15
1,2.51,5.13,0.85,89.50,-0.55,2.03,5.71,27.48,0.00
2,16.66,0.00,0.00,1.32,10.23,0.00,0.00,103.42,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.63,0.00
4,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,90.24,0.00
8,2.68,-0.05,-0.05,0.00,-1.49,-0.55,0.00,86.17,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.98,0.00
69,0.00,0.00,0.00,54.01,0.00,-0.55,0.00,0.00,0.00
134,0.00,0.00,1.69,-0.05,0.00,0.00,0.00,84.81,0.00
199,0.00,0.00,0.20,0.00,0.00,0.00,15.95,0.00,0.00
208,0.45,0.00,0.00,1.99,0.27,0.24,0.00,0.98,0.00
209,0.00,0.00,0.23,2.00,0.27,1.40,-4.41,0.73,0.37
210,0.45,0.00,0.69,0.00,0.68,3.80,0.00,0.00,0.00
211,0.00,1.95,0.00,0.20,0.00,0.20,-9.10,0.00,0.00
212,0.00,0.28,0.00,0.00,3.65,0.00,0.00,0.00,0.40
213,0.20,14.60,0.20,0.00,0.00,0.40,0.00,0.00,0.00
214,0.37,0.40,0.20,2.00,0.77,0.00,-9.09,0.20,0.93
215,0.20,0.00,0.39,0.00,2.37,0.00,0.00,6.62,0.39
216,0.00,0.00,0.00,0.00,0.20,3.76,0.00,0.00,0.00
220,0.30,1.83,0.44,1.99,0.20,17.29,-16.93,2.52,3.16
265,0.00,0.00,0.00,0.00,-0.55,1.99,0.00,95.57,0.00
333,0.00,0.00,0.00,0.00,33.61,0.00,0.00,0.00,0.00
473,0.20,0.25,0.45,1.90,1.17,0.38,-9.10,5.93,0.00
477,0.95,2.99,0.00,0.00,0.00,19.85,-9.70,0.00,0.00
522,0.00,0.00,0.00,0.00,0.00,35.66,-0.55,0.00,0.00
654,-0.05,-0.05,0.00,42.29,0.00,0.00,0.00,0.00,-0.30
730,0.65,0.32,1.89,0.00,19.47,0.00,0.00,1.29,0.00
734,0.23,0.00,0.20,0.00,7.23,0.00,-10.00,0.00,0.00
779,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.41,0.00
800,30.75,14.70,15.17,11.48,16.05,-0.60,11.75,100.00,16.33
801,16.80,-0.10,0.00,8.95,8.45,14.10,0.00,100.00,0.00
802,-0.07,0.00,0.00,-0.39,0.00,116.91,-0.58,0.00,0.11
803,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.62,0.00
804,-0.38,-4.42,0.85,0.00,0.00,0.00,-0.55,0.00,0.00
808,8.94,0.85,-0.02,-0.87,-0.55,-1.05,-0.55,89.06,0.00
809,0.00,-0.10,-0.05,0.00,0.00,0.00,-0.55,77.12,0.00
810,52.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
811,1.66,0.00,0.00,3.05,0.00,0.00,0.00,65.13,0.00
812,-4.41,0.00,8.23,-0.26,4.82,-0.55,0.00,0.00,0.00
869,0.00,0.00,-0.05,0.00,6.95,0.00,0.00,95.76,0.00
877,0.00,0.00,0.00,-4.39,1.05,0.00,0.00,0.00,-0.57
934,0.00,-0.33,-0.05,0.00,-7.02,0.00,0.00,99.89,-0.30
942,82.62,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
