profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab1_f1dead,RecoveryEpisodes,10,184.1,127.8,56.3,11.4,96.60249999999996,0.0162,0.0081,0.037109375,0.7,False,0.0324,6
lab2_f1dead,RecoveryEpisodes,10,480.6,384.5,96.1,-138.4025,300.5,0.3884,0.1942,0.333984375,0.44,False,0.46608,6
lab2_f1inv,RecoveryEpisodes,7,606.4285714285714,269.57142857142856,336.85714285714283,129.85357142857143,544.2928571428571,0.0014,0.0007,0.03125,0.9183673469387755,False,0.0042,6
lab3_f1dead,RecoveryEpisodes,10,143.1,238.4,-95.3,-151.0025,-40.7,0.0006,0.9997,0.02734375,-0.64,True,0.0036,6
lab3_f1inv,RecoveryEpisodes,10,341.3,628.3,-287.0,-965.8025,78.30249999999997,0.6892,0.6555,0.322265625,0.31,True,0.6892,6
lab3_f2dead,RecoveryEpisodes,5,1781.0,2242.8,-461.8,-1001.0,134.0,0.121,0.9395,0.3125,-0.2,True,0.1815,6
lab1_f1dead,DetectEpisode,10,3.2,3.2,0.0,-0.7,0.7,1.0,0.5528,1.0,0.0,False,1.0,9
lab2_f1dead,DetectEpisode,10,3.4,5.4,-2.0,-3.4,-0.9,0.0,1.0,0.015625,-0.71,True,0.0,9
lab2_f1inv,DetectEpisode,10,3.9,5.9,-2.0,-3.9,0.1,0.0632,0.9738,0.14453125,-0.61,True,0.09480000000000001,9
lab2_f2dead,DetectEpisode,10,3.9,4.5,-0.6,-1.7,0.4,0.2988,0.8908,0.4375,-0.12,True,0.38417142857142855,9
lab2_f2inv,DetectEpisode,10,4.5,6.3,-1.8,-3.4,-0.1,0.0452,0.9826,0.10546875,-0.43,True,0.08136,9
lab3_f1dead,DetectEpisode,10,54.2,15.7,38.5,21.5,56.5,0.0,0.0,0.001953125,0.92,False,0.0,9
lab3_f1inv,DetectEpisode,10,90.5,16.8,73.7,52.2,99.3,0.0,0.0,0.001953125,1.0,False,0.0,9
lab3_f2dead,DetectEpisode,10,10.2,9.9,0.3,-1.5,2.1,0.7844,0.3922,0.84375,-0.04,False,0.88245,9
lab3_f2inv,DetectEpisode,10,8.1,11.3,-3.2,-5.9,-0.7,0.0124,0.995,0.103515625,-0.43,True,0.027899999999999998,9
