profile,metric,recovery_tier,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f2dead_lowsun,RecoveryEpisodes,confirmatory,10,69.4,134.3,-64.9,-97.3,-34.0,0.0,1.0,0.00390625,-0.88,True,0.0,1
lab3_f2dead_lowsun,DetectEpisode,,10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,1.0,1
