StateIndex,SetAirPurifier=OFF,SetAirPurifier=ON,SetCooler=OFF,SetCooler=ON,SetDehumidifier=OFF,SetDehumidifier=ON,SetFan=OFF,SetFan=ON,SetHeater=OFF,SetHeater=ON,SetHumidifier=OFF,SetHumidifier=ON,SetSpeaker=OFF,SetSpeaker=ON,SetWhiteNoiseUnit=OFF,SetWhiteNoiseUnit=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,1,0,3,7,3,4,6,5,4,4,2,4,5,7,2,1,4,1468,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
