StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
41,-50.00,15.00,0.00,-50.00,-50.00,15.00,0.00,-50.00,0.00
42,-50.00,15.00,0.00,-50.00,-50.00,15.00,0.00,-50.00,0.00
43,-50.00,15.00,0.00,-50.00,-50.00,15.00,0.00,-50.00,0.00
44,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00,-50.00,0.00
45,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00,-50.00,0.00
46,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00,-50.00,0.00
47,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00,-50.00,0.00
48,-50.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,-50.00,0.00
49,-50.00,15.00,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00
50,-50.00,15.00,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00
51,-50.00,15.00,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00
52,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,-50.00,0.00
53,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00
54,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00
55,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00
56,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
57,-50.00,15.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
58,-50.00,15.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
59,-50.00,15.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
60,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
61,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
62,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
63,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
64,-50.00,-50.00,-50.00,7.50,-50.00,7.50,-50.00,-50.00,0.00
65,-50.00,7.50,-50.00,7.50,-50.00,7.50,-50.00,7.50,0.00
66,-50.00,7.50,-50.00,7.50,-50.00,7.50,-50.00,7.50,0.00
67,-50.00,7.50,-50.00,7.50,-50.00,7.50,-50.00,7.50,0.00
68,0.00,-50.00,-50.00,7.50,-50.00,7.50,-50.00,-50.00,0.00
69,0.00,-50.00,-50.00,7.50,-50.00,7.50,-50.00,7.50,0.00
70,0.00,-50.00,-50.00,7.50,-50.00,7.50,-50.00,7.50,0.00
71,0.00,-50.00,-50.00,7.50,-50.00,7.50,-50.00,7.50,0.00
72,-50.00,-50.00,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00
73,-8.39,-5.80,-8.39,8.61,-28.49,200.00,-3.36,-21.00,15.06
74,-50.00,7.50,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00
75,-50.00,7.50,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00
76,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00
77,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00
78,20.00,-31.31,-34.14,7.50,8.34,200.00,4.90,-22.97,0.00
79,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00
80,-50.00,-50.00,-50.00,7.50,0.00,-50.00,-50.00,-50.00,0.00
81,-50.00,7.50,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
82,-50.00,7.50,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
83,-50.00,7.50,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
84,0.00,-50.00,-50.00,7.50,0.00,-50.00,-50.00,-50.00,0.00
85,0.00,-50.00,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
86,0.00,-50.00,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
87,0.00,-50.00,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
88,-50.00,-50.00,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00
89,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00
90,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00
91,-50.00,7.50,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00
92,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00
93,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00
94,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00
95,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00
96,-50.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,0.00
97,-50.00,7.50,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00
98,-50.00,7.50,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00
99,-50.00,7.50,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00
100,0.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,0.00
101,0.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00
102,0.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00
103,0.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,7.50,0.00
104,-50.00,-50.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
105,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
106,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
107,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
108,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
109,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
110,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
111,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
112,-50.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,-50.00,0.00
113,-50.00,7.50,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
114,-50.00,7.50,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
115,-50.00,7.50,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
116,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,-50.00,0.00
117,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
118,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
119,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
120,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
121,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
122,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
123,-50.00,7.50,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
124,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
125,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
126,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
127,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
128,-50.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00
129,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
130,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
131,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
132,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00
133,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
134,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
135,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
136,-50.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
137,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
138,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
139,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
140,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
141,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
