StateIndex,SetAuxA=OFF,SetAuxA=ON,SetAuxB=OFF,SetAuxB=ON,SetBreaker=OFF,SetBreaker=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
59,0.00,-50.00,0.00,-50.00,-50.00,15.00,0.00,-50.00,0.00,-50.00,0.00
60,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
61,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
62,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
63,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
64,-50.00,0.00,-50.00,0.00,-50.00,7.50,-50.00,-50.00,-50.00,-50.00,0.00
65,-50.00,0.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,-50.00,-50.00,0.00
66,0.00,-50.00,-50.00,0.00,-50.00,7.50,-50.00,-50.00,-50.00,-50.00,0.00
67,0.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,-50.00,-50.00,0.00
68,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,0.00
69,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,0.00
70,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,0.00
71,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,0.00
72,-50.00,0.00,-50.00,0.00,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
73,-50.00,0.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
74,0.00,-50.00,-50.00,0.00,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
75,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,-50.00,7.50,0.00
76,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
77,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
78,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
79,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00
80,-50.00,0.00,-50.00,0.00,-50.00,7.50,-50.00,-50.00,0.00,-50.00,0.00
81,-50.00,0.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,0.00,-50.00,0.00
82,0.00,-50.00,-50.00,0.00,-50.00,7.50,-50.00,-50.00,0.00,-50.00,0.00
83,0.00,-50.00,0.00,-50.00,-50.00,7.50,-50.00,-50.00,0.00,-50.00,0.00
84,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
85,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,7.50,0.00,-50.00,0.00
