Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
125,0,0.00,0.00,1,0.206071,0,0,8
126,3,178.00,0.00,1,0.205452,2,0,1
127,3,183.00,0.00,1,0.204836,1,1,2
128,2,189.00,0.00,1,0.204222,1,0,3
129,2,189.00,0.00,1,0.203609,1,0,4
130,2,189.00,0.00,1,0.202998,1,1,6
131,0,0.00,0.00,1,0.202389,0,0,8
132,3,178.00,0.00,1,0.201782,2,0,1
133,2,189.00,0.00,1,0.201177,1,0,2
134,2,189.00,0.00,1,0.200573,1,0,3
135,2,189.00,0.00,1,0.199971,1,0,4
136,1,200.00,0.00,1,0.199371,0,0,6
137,0,0.00,0.00,1,0.198773,0,0,8
138,3,178.00,0.00,1,0.198177,2,0,1
139,2,189.00,0.00,1,0.197582,1,0,2
140,3,188.00,0.00,1,0.196990,1,1,3
141,2,189.00,0.00,1,0.196399,1,0,4
142,1,200.00,0.00,1,0.195809,0,0,6
143,0,0.00,0.00,1,0.195222,0,0,8
144,4,167.00,0.00,1,0.194636,3,1,1
145,2,189.00,0.00,1,0.194052,1,0,2
146,5,156.00,0.00,1,0.193470,4,1,3
147,2,189.00,0.00,1,0.192890,1,0,4
148,1,200.00,0.00,1,0.192311,0,0,6
149,0,0.00,0.00,1,0.191734,0,0,8
150,3,178.00,0.00,1,0.191159,2,0,1
151,3,188.00,0.00,1,0.190586,1,0,2
152,4,167.00,0.00,1,0.190014,3,0,3
153,6,165.00,0.00,1,0.189444,3,1,4
154,1,200.00,0.00,1,0.188876,0,0,6
155,0,0.00,0.00,1,0.188309,0,0,8
156,4,172.00,0.00,1,0.187744,2,1,1
157,2,189.00,0.00,1,0.187181,1,0,2
158,2,189.00,0.00,1,0.186619,1,0,3
159,2,189.00,0.00,1,0.186059,1,0,4
160,1,200.00,0.00,1,0.185501,0,0,6
161,0,0.00,0.00,1,0.184945,0,0,8
162,3,178.00,0.00,1,0.184390,2,0,1
163,2,189.00,0.00,1,0.183837,1,0,2
164,3,188.00,0.00,1,0.183285,1,1,3
165,4,187.00,0.00,1,0.182735,1,2,4
166,1,200.00,0.00,1,0.182187,0,0,6
167,0,0.00,0.00,1,0.181641,0,0,8
168,5,166.00,0.00,1,0.181096,3,1,1
169,2,189.00,0.00,1,0.180552,1,0,2
170,2,189.00,0.00,1,0.180011,1,0,3
171,2,189.00,0.00,1,0.179471,1,0,4
172,1,200.00,0.00,1,0.178932,0,0,6
173,0,0.00,0.00,1,0.178395,0,0,8
174,4,172.00,0.00,1,0.177860,2,1,1
175,5,166.00,0.00,1,0.177327,3,0,2
176,2,189.00,0.00,1,0.176795,1,0,3
177,2,189.00,0.00,1,0.176264,1,0,4
178,1,200.00,0.00,1,0.175735,0,0,6
179,0,0.00,0.00,1,0.175208,0,0,8
180,3,178.00,0.00,1,0.174683,2,0,1
