Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
125,1,200.00,0.00,1,0.206071,0,0,9
126,1,200.00,0.00,1,0.205452,0,0,10
127,1,200.00,0.00,1,0.204836,0,0,12
128,1,200.00,0.00,1,0.204222,0,0,13
129,0,0.00,0.00,1,0.203609,0,0,15
130,3,228.00,0.00,1,0.202998,1,0,1
131,2,189.00,0.00,1,0.202389,1,0,2
132,2,189.00,0.00,1,0.201782,1,1,5
133,2,189.00,0.00,1,0.201177,1,0,6
134,0,0.00,0.00,1,0.200573,0,0,8
135,1,200.00,0.00,1,0.199971,0,0,9
136,1,200.00,0.00,1,0.199371,0,0,10
137,1,200.00,0.00,1,0.198773,0,0,12
138,1,200.00,0.00,1,0.198177,0,0,13
139,0,0.00,0.00,1,0.197582,0,0,15
140,5,206.00,0.00,1,0.196990,3,0,1
141,2,189.00,0.00,1,0.196399,1,0,2
142,1,200.00,0.00,1,0.195809,0,0,5
143,3,178.00,0.00,1,0.195222,2,1,6
144,0,0.00,0.00,1,0.194636,0,0,8
145,1,200.00,0.00,1,0.194052,0,0,9
146,1,200.00,0.00,1,0.193470,0,0,10
147,1,200.00,0.00,1,0.192890,0,0,12
148,1,200.00,0.00,1,0.192311,0,0,13
149,0,0.00,0.00,1,0.191734,0,0,15
150,3,228.00,0.00,1,0.191159,1,0,1
151,2,189.00,0.00,1,0.190586,1,0,2
152,2,189.00,0.00,1,0.190014,1,1,5
153,2,189.00,0.00,1,0.189444,1,0,6
154,0,0.00,0.00,1,0.188876,0,0,8
155,1,200.00,0.00,1,0.188309,0,0,9
156,1,200.00,0.00,1,0.187744,0,0,10
157,1,200.00,0.00,1,0.187181,0,0,12
158,1,200.00,0.00,1,0.186619,0,0,13
159,0,0.00,0.00,1,0.186059,0,0,15
160,3,228.00,0.00,1,0.185501,1,0,1
161,2,189.00,0.00,1,0.184945,1,0,2
162,1,200.00,0.00,1,0.184390,0,0,5
163,2,189.00,0.00,1,0.183837,1,0,6
164,0,0.00,0.00,1,0.183285,0,0,8
165,1,200.00,0.00,1,0.182735,0,0,9
166,1,200.00,0.00,1,0.182187,0,0,10
167,1,200.00,0.00,1,0.181641,0,0,12
168,1,200.00,0.00,1,0.181096,0,0,13
169,0,0.00,0.00,1,0.180552,0,0,15
170,3,228.00,0.00,1,0.180011,1,0,1
171,2,189.00,0.00,1,0.179471,1,0,2
172,1,200.00,0.00,1,0.178932,0,0,5
173,2,189.00,0.00,1,0.178395,1,0,6
174,0,0.00,0.00,1,0.177860,0,0,8
175,1,200.00,0.00,1,0.177327,0,0,9
176,1,200.00,0.00,1,0.176795,0,0,10
177,13,108.00,0.00,1,0.176264,10,5,12
178,1,200.00,0.00,1,0.175735,0,0,13
179,0,0.00,0.00,1,0.175208,0,0,15
180,5,211.00,0.00,1,0.174683,2,2,1
181,3,178.00,0.00,1,0.174159,2,1,2
182,1,200.00,0.00,1,0.173636,0,0,5
183,2,189.00,0.00,1,0.173115,1,0,6
184,0,0.00,0.00,1,0.172596,0,0,8
185,1,200.00,0.00,1,0.172078,0,0,9
186,12,89.00,0.00,1,0.171562,9,4,10
187,1,200.00,0.00,1,0.171047,0,0,12
188,1,200.00,0.00,1,0.170534,0,0,13
189,0,0.00,0.00,1,0.170022,0,0,15
190,3,228.00,0.00,1,0.169512,1,0,1
191,2,189.00,0.00,1,0.169004,1,0,2
192,1,200.00,0.00,1,0.168497,0,0,5
193,2,189.00,0.00,1,0.167991,1,0,6
194,0,0.00,0.00,1,0.167487,0,0,8
195,1,200.00,0.00,1,0.166985,0,0,9
