StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
0,3,4,1,299,1,0,4,3,1
1,0,0,0,1,0,0,1,4,0
2,2,4,2,0,2,298,1,0,1
3,0,0,0,0,0,3,0,0,0
4,1,0,0,4,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0
6,1,1,0,0,0,6,0,0,0
7,0,0,0,0,0,1,0,0,0
8,0,0,0,0,0,4,0,0,0
13,0,0,0,7,1,0,0,0,0
73,2,6,2,3,1,302,2,2,1
78,1,1,1,0,4,299,3,2,0
203,2,293,1,1,1,3,3,0,3
218,0,0,0,0,0,0,1,0,0
219,1,3,0,0,0,0,0,0,0
224,2,6,5,4,5,597,1,5,4
225,2,2,3,0,0,295,0,4,3
226,1,0,1,0,0,1,0,1,1
227,0,1,0,0,0,0,0,0,1
228,9,0,1,1,0,1,0,0,2
229,2,0,1,0,0,1,0,1,1
231,0,0,1,0,0,0,0,0,0
232,1,0,1,1,0,4,0,0,0
233,1,0,9,0,0,1,0,2,1
234,0,3,295,0,0,2,2,1,0
235,0,0,0,0,0,1,1,0,0
237,3,1,1,0,1,1,3,0,2
238,0,0,3,0,0,1,0,0,0
240,3,1,586,3,5,3,1,6,2
241,3,0,295,1,1,1,1,2,2
242,0,0,0,0,1,0,0,1,0
244,1,0,0,0,1,0,0,0,0
245,0,0,2,0,0,0,0,0,1
248,0,0,10,0,0,1,0,0,0
249,0,1,0,0,0,0,3,0,0
250,0,1,1,0,1,0,1,0,2
251,0,0,0,0,1,0,0,0,0
253,1,0,0,0,0,0,1,0,1
254,1,0,0,0,1,0,0,0,0
