profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab1,pbrs_on,10,27.75,21.75,33.9
lab2,pbrs_on,10,1286.985423015462,1276.7104346719495,1301.108668421118
lab3,pbrs_on,10,1384.153395213451,1363.6026241211744,1405.679712256512
