profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab2,pbrs_on,5,1295.9202488921303,1273.2759388119348,1312.405435263244
lab3,pbrs_on,5,1420.2616629793056,1406.3115814097996,1432.0931875018832
