profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab4,pbrs_on,10,1401.691702428217,1381.0363554567953,1418.1819774266455
lab5,pbrs_on,10,1415.6813999688486,1367.738399382857,1457.5695917561943
