profile,metric,recovery_tier,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
labmon_f1dead,RecoveryEpisodes,confirmatory,10,84.5,62.3,22.2,-18.1,57.00249999999996,0.2484,0.1242,0.4296875,0.05,False,0.2484,1
labmon_f1dead,DetectEpisode,,10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,1.0,1
