contrast,role,n_paired,mean_difference_of_differences,median_difference_of_differences,ci_lo_bootstrap,ci_hi_bootstrap,p_signflip_two_sided,paired_rank_biserial
lab4chain_minus_lab4,registered_ordered_secondary,20,-0.03937500000000001,-0.1562499999999999,-0.358125,0.28812499999999996,0.8234596252441406,-0.09523809523809523
lab4dual_minus_lab4,descriptive,20,-0.05,-0.28125,-0.43062500000000004,0.3425000000000001,0.8078632354736328,-0.12380952380952381
lab4chain_minus_lab4dual,descriptive,20,0.010624999999999996,-0.1812499999999999,-0.23937500000000003,0.28812499999999996,0.9428291320800781,-0.0761904761904762
