profile,mode,n_seeds,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,avg_steps_mean,avg_steps_ci_lo,avg_steps_ci_hi,avg_dev_mean,avg_dev_ci_lo,avg_dev_ci_hi,avg_policy_energy_mean,avg_policy_energy_ci_lo,avg_policy_energy_ci_hi,avg_legacy_wallclock_energy_mean,avg_legacy_wallclock_energy_ci_lo,avg_legacy_wallclock_energy_ci_hi,avg_wasted_mean,avg_wasted_ci_lo,avg_wasted_ci_hi,avg_cycling_mean,avg_cycling_ci_lo,avg_cycling_ci_hi,avg_redundant_mean,avg_redundant_ci_lo,avg_redundant_ci_hi
lab4,ql_false,10,0.9637499999999999,0.9375,0.9862500000000001,1.8862499999999998,1.46375,2.34503125,2.22125,1.7549687499999997,2.71,3.34,2.6587187499999994,4.066281249999999,14.23125,13.18496875,15.316312499999999,0.8724999999999998,0.47621874999999997,1.33125,1.0137500000000002,0.92125,1.1275,1.88625,1.46375,2.34503125
lab4,ql_true,10,1.0,1.0,1.0,0.8875,0.875,0.9125,0.65,0.625,0.7,2.18125,2.14375,2.23125,13.352499999999997,13.20875,13.548749999999998,0.0,0.0,0.0,0.8875,0.875,0.9125,0.8875,0.875,0.9125
lab4,rule_based,10,1.0,1.0,1.0,1.125,1.125,1.125,0.5625,0.5625,0.5625,2.0625,2.0625,2.0625,12.45125,12.305,12.57375,0.0,0.0,0.0,1.125,1.125,1.125,1.125,1.125,1.125
lab4chain,ql_false,10,0.9799999999999999,0.9675,0.99125,1.7600000000000002,1.5725,1.9525312499999996,2.36375,2.01125,2.7224999999999997,3.1475,2.865,3.47253125,14.15,13.826249999999998,14.466249999999999,0.6224999999999999,0.44125000000000003,0.83625,1.1375,1.05375,1.2325000000000002,1.7600000000000002,1.5725,1.9525312499999996
lab4chain,ql_true,10,1.0,1.0,1.0,0.925,0.90625,0.9375,0.675,0.65625,0.6875,2.2125,2.15,2.275,13.18125,13.0275,13.319999999999999,0.0,0.0,0.0,0.925,0.90625,0.9375,0.925,0.90625,0.9375
lab4chain,rule_based,10,1.0,1.0,1.0,1.4375,1.4375,1.4375,0.875,0.875,0.875,2.6875,2.6875,2.6875,13.03125,12.940000000000001,13.12125,0.0,0.0,0.0,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375
lab4dual,ql_false,10,0.9887500000000001,0.9775,0.99875,1.8174999999999997,1.5662499999999997,2.11003125,3.4825000000000004,2.7712499999999998,4.281249999999999,3.5462499999999997,3.1012500000000003,4.0650625,13.721249999999998,13.1375,14.39375,0.45499999999999996,0.28874999999999995,0.665,1.3625,1.2662499999999999,1.4599999999999997,1.8174999999999997,1.56625,2.11003125
lab4dual,ql_true,10,1.0,1.0,1.0,1.13875,1.125,1.1662500000000002,1.1525,1.125,1.2075,2.8425000000000002,2.8125,2.9025000000000003,13.99,13.851250000000002,14.1375,0.0,0.0,0.0,1.13875,1.125,1.1662500000000002,1.13875,1.125,1.1662500000000002
lab4dual,rule_based,10,1.0,1.0,1.0,1.5625,1.5625,1.5625,2.625,2.625,2.625,2.75,2.75,2.75,12.44875,12.372499999999999,12.526250000000001,0.0,0.0,0.0,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
lab5,ql_false,10,0.9875,0.96875,1.0,1.0425,0.8012499999999999,1.3375,0.76875,0.5112187499999999,1.07125,2.54625,2.045,3.0487812499999998,20.93625,19.75746875,22.09,0.29874999999999996,0.03125000000000001,0.6475,0.7437500000000001,0.6937500000000001,0.7925000000000001,1.0425,0.8012499999999999,1.3375
lab5,ql_true,10,0.9875,0.96875,1.0,1.075,0.85625,1.375,1.225,1.05625,1.43125,2.08125,1.83125,2.38125,19.92125,19.333750000000002,20.615,0.275,0.025,0.6375,0.8,0.75,0.85,1.075,0.85625,1.375
lab5,rule_based,10,1.0,1.0,1.0,0.6875,0.6875,0.6875,0.25,0.25,0.25,1.125,1.125,1.125,17.68875,17.52875,17.853749999999998,0.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875
