StateIndex,SetAirPurifier=OFF,SetAirPurifier=ON,SetCooler=OFF,SetCooler=ON,SetDehumidifier=OFF,SetDehumidifier=ON,SetFan=OFF,SetFan=ON,SetHeater=OFF,SetHeater=ON,SetHumidifier=OFF,SetHumidifier=ON,SetSpeaker=OFF,SetSpeaker=ON,SetWhiteNoiseUnit=OFF,SetWhiteNoiseUnit=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,4,4,4,7,3,5,3,6,0,5,2,1,8,5,4,6,2,1464,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0
2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
18,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0
21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
32,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0
34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
67,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
72,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
82,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
83,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
98,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
99,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
129,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
130,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0
134,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,1,0,0
150,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
204,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
206,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
236,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
