StateIndex,SetAirPurifier=OFF,SetAirPurifier=ON,SetCooler=OFF,SetCooler=ON,SetDehumidifier=OFF,SetDehumidifier=ON,SetFan=OFF,SetFan=ON,SetHeater=OFF,SetHeater=ON,SetHumidifier=OFF,SetHumidifier=ON,SetSpeaker=OFF,SetSpeaker=ON,SetWhiteNoiseUnit=OFF,SetWhiteNoiseUnit=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,48.44,1.27,48.44,1.28,33.93,0.15,32.88,0.87,0.00,14.25,33.25,-0.10,87.18,6.09,61.56,20.10,-2.09,200.00,46.27
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,3.78,93.71,0.00
2,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,0.00,-0.10,-0.10,-0.10,-0.10,-1.10,38.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.07,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,68.78,0.00
6,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,-0.10,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,-0.60
7,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,34.00,0.00,0.00,-0.10,-0.10,-0.10,-0.10,0.00,-0.10,-0.10,0.00,-0.10,0.00,0.00,0.00,-0.10,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00
10,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
12,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,-0.10,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
