StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
5736,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00
5737,0.00,0.00,0.00,-0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.04,0.00
5744,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.33,0.00,0.00,0.00,0.00,-0.30
5745,0.00,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,-0.76,0.00,0.00,0.00,0.00,0.00
5752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.98,0.00,0.00
5753,-0.55,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,-0.12,0.00,0.00,-2.70,0.00,-0.34
7296,0.00,0.00,0.00,0.00,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7297,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.20,0.00,0.00
7298,0.00,0.00,0.68,2.00,0.35,0.22,-0.84,0.00,0.00,0.00,0.25,0.20,0.38,0.20,0.38
7304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00
7305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.69,0.00,0.00,0.00
7312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.20
7313,0.00,0.00,0.00,0.00,0.00,0.20,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.20
7320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00
7321,0.00,0.00,0.00,9.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7424,0.30,2.00,0.23,0.00,0.00,0.00,0.00,0.00,0.38,0.25,0.00,0.38,0.58,0.20,0.77
7425,1.03,0.20,0.96,0.00,-5.81,0.38,0.00,0.00,0.62,0.20,0.38,2.00,0.00,0.00,0.33
7426,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7427,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.14,0.23
7433,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.00
7440,0.00,0.00,0.00,5.65,-18.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42
7441,0.00,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7448,0.00,0.00,0.48,0.31,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7449,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00
7552,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00
7553,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.69,0.00
7554,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00
7555,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7560,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7568,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24
7569,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
7576,0.00,0.00,0.00,9.80,0.00,0.00,0.20,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00
7577,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.54,0.00
