StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2697,-0.59,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,-0.59,0.00,0.00,0.00
2698,0.00,0.00,-8.27,-1.09,-0.59,0.00,0.00,0.00,0.00,38.19,-0.59,0.00,-0.59
2706,-0.59,137.92,0.00,0.00,-0.59,0.00,-0.59,-0.59,-6.88,-0.59,0.00,0.00,-0.59
2712,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,-0.59,-0.59,-0.59,0.00,149.91,0.00
2713,-0.59,0.00,-4.18,0.00,0.00,0.00,-0.59,0.00,0.00,-0.59,0.00,20.10,0.00
2722,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.12,0.00,0.00,0.00
2728,0.00,114.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2729,0.00,54.47,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2737,0.00,54.89,0.00,-1.09,-3.09,0.00,0.00,0.00,-4.18,0.00,-0.59,0.00,0.00
2744,0.00,0.00,0.00,-1.09,0.00,0.00,0.00,0.00,12.95,0.00,0.00,0.00,0.00
2745,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00
2880,0.00,41.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00
2881,0.00,-0.35,-0.35,0.00,0.00,0.00,-0.16,0.00,11.13,0.00,0.00,0.36,-0.01
2882,8.83,0.27,-0.33,102.50,-0.35,0.00,0.00,0.00,9.03,0.00,0.00,16.95,9.12
2883,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,19.47,0.00,0.00,0.00
2884,-0.35,0.00,0.23,93.42,0.12,0.00,1.41,0.00,6.40,0.00,-23.53,0.40,0.00
2885,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,27.78,0.00,0.00,-8.19,0.00,0.00
2886,-0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.45,0.00,0.00,0.00
2887,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.02,0.00
2896,0.00,-0.66,0.00,62.79,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,-0.10
2897,0.00,0.00,0.00,41.97,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00
2900,-0.35,0.00,0.00,19.47,0.00,-0.35,0.00,0.00,0.00,0.25,0.00,8.06,0.00
2901,0.00,-0.35,0.00,0.00,-0.35,0.00,-0.35,27.78,0.00,0.00,0.00,0.00,0.00
2912,0.00,71.85,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00
2913,0.00,4.77,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.99,0.00,-0.10
2916,2.10,0.00,0.00,0.00,0.00,0.00,0.00,101.40,0.00,0.00,0.00,0.00,0.00
2917,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.03,0.00,0.00,0.00,0.00,0.00
2928,0.00,0.00,-0.35,0.00,0.00,-0.35,-0.35,-0.35,36.12,0.00,0.00,0.00,0.00
2929,-0.35,0.00,-0.35,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00
2932,0.00,0.00,-0.35,0.00,0.00,-0.35,-0.35,0.00,18.15,1.76,-14.27,0.00,0.00
2933,0.00,0.00,-0.35,0.00,0.58,0.00,0.00,0.00,0.00,0.00,-10.03,0.00,0.00
3008,0.00,62.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
3009,0.00,0.00,0.00,88.65,0.00,0.00,0.00,0.00,0.00,0.00,-14.27,0.00,0.00
3010,0.00,0.00,0.00,58.38,0.00,0.00,0.00,0.00,0.00,0.00,-13.54,0.00,0.00
3011,-0.35,0.00,0.00,0.00,-0.35,48.03,0.00,0.00,0.00,0.00,0.00,1.91,-0.10
