StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
5736,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.00
5737,0.00,0.00,0.00,-0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.02,0.00
5744,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00,0.00,-0.10
5745,0.00,0.00,0.00,-0.35,-0.35,0.00,0.00,0.00,0.00,2.61,0.00,0.00,0.00,0.00,0.00
5752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.38,0.00,0.00
5753,-0.33,0.00,0.00,0.00,-0.33,0.00,0.00,0.00,0.00,0.40,0.00,0.00,9.31,0.00,0.07
7296,0.00,0.00,0.00,0.00,2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7297,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,-0.35,0.00,0.00
7298,0.00,0.00,15.48,102.50,8.00,1.08,6.81,0.00,0.00,0.00,2.15,10.25,8.86,10.25,9.06
7304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.47,0.00,0.00,0.00
7305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,35.25,0.00,0.00,0.00
7312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.97,0.00,0.00,-0.10
7313,0.00,0.00,0.00,0.00,0.00,0.16,0.00,5.34,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
7320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00
7321,0.00,0.00,0.00,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7424,4.91,102.50,1.91,0.00,0.00,0.00,0.00,0.00,8.88,2.15,0.00,19.47,9.40,10.25,11.40
7425,24.06,10.25,21.61,0.00,-6.18,9.35,0.00,0.00,11.42,-0.35,8.78,102.50,0.00,0.00,6.52
7426,0.00,0.00,0.00,48.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7427,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,58.38,1.66
7433,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,-0.35,0.00,0.00
