StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2697,-0.55,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,-0.05,0.00,0.00,0.00
2698,0.00,0.00,-4.14,-0.55,-0.55,0.00,0.00,0.00,0.00,19.10,-0.05,0.00,-0.30
2706,-0.55,68.96,0.00,0.00,-0.55,0.00,-0.55,-0.55,-3.44,-0.05,0.00,0.00,-0.30
2712,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,-0.55,-0.05,-0.05,0.00,74.95,0.00
2713,-0.55,0.00,-2.09,0.00,0.00,0.00,-0.55,0.00,0.00,-0.05,0.00,10.05,0.00
2722,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00,0.00,0.00
2728,0.00,57.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2729,0.00,27.24,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2737,0.00,41.43,0.00,-0.55,-1.18,0.00,0.00,0.00,-2.09,0.00,-0.05,0.00,0.00
2744,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,6.95,0.00,0.00,0.00,0.00
2745,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00
2880,0.00,39.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.22,0.00
2881,0.00,-0.55,-0.55,0.00,0.00,0.00,-0.60,0.00,-3.23,0.00,0.00,-0.11,-0.32
2882,8.45,-0.13,-0.55,100.50,-0.55,0.00,0.00,0.00,8.65,0.00,0.00,15.93,8.74
2883,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,19.10,0.00,0.00,0.00
2884,-0.55,0.00,-1.29,91.59,-0.68,0.00,1.17,0.00,-1.86,0.00,-6.84,-0.12,0.00
2885,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,27.24,0.00,0.00,-0.96,0.00,0.00
2886,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.95,0.00,0.00,0.00
2887,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.04,0.00
2896,0.00,-1.04,0.00,61.56,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,0.00,-0.30
2897,0.00,0.00,0.00,41.16,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
2900,-0.55,0.00,0.00,19.10,0.00,-0.55,0.00,0.00,0.00,-0.07,0.00,-2.34,0.00
2901,0.00,-0.55,0.00,0.00,-0.55,0.00,-0.55,27.24,0.00,0.00,0.00,0.00,0.00
2912,0.00,68.60,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
2913,0.00,4.28,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.49,0.00,-0.30
2916,1.76,0.00,0.00,0.00,0.00,0.00,0.00,99.42,0.00,0.00,0.00,0.00,0.00
2917,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.09,0.00,0.00,0.00,0.00,0.00
2928,0.00,0.00,-0.55,0.00,0.00,-0.55,-0.55,-0.55,32.79,0.00,0.00,0.00,0.00
2929,-0.55,0.00,-0.55,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,-1.49,0.00
2932,0.00,0.00,-0.55,0.00,0.00,-0.55,-0.55,0.00,17.26,-0.51,-4.14,0.00,0.00
2933,0.00,0.00,-0.55,0.00,0.36,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00
3008,0.00,61.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
3009,0.00,0.00,0.00,86.92,0.00,0.00,0.00,0.00,0.00,0.00,-4.14,0.00,0.00
3010,0.00,0.00,0.00,57.24,0.00,0.00,0.00,0.00,0.00,0.00,-3.77,0.00,0.00
3011,-0.55,0.00,0.00,0.00,-0.55,47.09,0.00,0.00,0.00,0.00,0.00,1.67,-0.30
3024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.75,0.00,0.00,0.00,0.00
3025,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,21.45,0.00,0.00,0.00,0.00
3040,0.00,0.00,-0.55,0.00,0.00,-0.72,0.00,0.00,-0.17,0.00,0.00,-3.36,0.00
3041,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-2.45,-0.30
3056,-0.55,0.00,-2.72,0.00,0.00,-1.16,-0.55,-1.98,0.00,-0.78,-4.14,-4.10,-0.32
3057,0.00,0.00,0.00,61.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3716,0.00,0.00,0.20,0.00,0.00,0.00,0.00,11.82,0.20,0.40,0.20,0.00,0.00
3717,0.00,0.00,0.00,2.00,0.35,0.20,-13.90,0.38,0.00,0.00,0.63,0.20,0.56
3718,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.94,0.20
3719,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00
3732,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,1.04,0.00
3733,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.44,0.20
3748,0.00,0.00,0.74,0.00,0.00,0.00,-7.35,8.95,0.00,0.00,0.00,0.00,0.20
3749,0.00,0.00,0.00,0.00,1.55,0.00,-10.09,0.00,0.00,0.00,0.00,0.00,0.00
3764,0.00,0.00,0.20,0.00,0.00,10.87,0.00,0.57,0.00,0.00,0.00,0.00,0.00
3765,0.00,0.00,0.00,0.00,0.00,0.00,-9.91,0.00,0.00,0.00,0.20,1.30,0.00
