ActionLabel,SunBucket,Sum,N
SetSpotlight=OFF,0,0.0,3
SetSpotlight=OFF,1,3.0,6
SetSpotlight=OFF,2,0.0,2
SetSpotlight=OFF,3,0.0,1
SetSpotlight=ON,0,331.5,335
SetSpotlight=ON,1,328.5,338
SetSpotlight=ON,2,311.0,312
SetSpotlight=ON,3,5.0,5
SetZ1Blinds=OFF,0,0.0,24
SetZ1Blinds=OFF,1,0.0,47
SetZ1Blinds=OFF,2,0.0,3
SetZ1Blinds=ON,0,0.0,4
SetZ1Blinds=ON,1,1.0,31
SetZ1Blinds=ON,2,299.0,299
SetZ1Blinds=ON,3,8.0,19
SetZ1Eff=OFF,0,14.0,22
SetZ1Eff=OFF,1,6.0,15
SetZ1Eff=OFF,2,2.0,5
SetZ1Eff=OFF,3,1.0,1
SetZ1Eff=ON,0,332.0,332
SetZ1Eff=ON,1,16.0,35
SetZ1Eff=ON,2,2.0,2
SetZ1Ineff=OFF,0,4.0,13
SetZ1Ineff=OFF,1,4.0,35
SetZ1Ineff=OFF,2,4.0,6
SetZ1Ineff=OFF,3,1.0,1
SetZ1Ineff=ON,0,3.0,3
SetZ1Ineff=ON,1,1.0,4
SetZ1Ineff=ON,2,2.0,2
SetZ2Blinds=OFF,0,0.0,25
SetZ2Blinds=OFF,1,0.0,46
SetZ2Blinds=OFF,2,0.0,1
SetZ2Blinds=ON,0,0.0,3
SetZ2Blinds=ON,1,1.0,26
SetZ2Blinds=ON,2,4.0,11
SetZ2Blinds=ON,3,0.0,6
SetZ2Eff=OFF,0,3.0,19
SetZ2Eff=OFF,1,10.0,22
SetZ2Eff=OFF,2,0.0,1
SetZ2Eff=OFF,3,1.0,2
SetZ2Eff=ON,0,2.0,4
SetZ2Eff=ON,1,660.0,661
SetZ2Eff=ON,2,2.0,2
SetZ2Ineff=OFF,0,4.0,13
SetZ2Ineff=OFF,1,4.0,13
SetZ2Ineff=OFF,2,1.0,5
SetZ2Ineff=OFF,3,1.0,1
SetZ2Ineff=ON,0,4.0,4
SetZ2Ineff=ON,1,2.0,3
SetZ2Ineff=ON,2,1.0,1
