profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab2,pbrs_on,10,1284.701279573929,1264.7443298766314,1304.2954468048645
lab3,pbrs_on,10,1380.4571114619844,1351.28966549428,1410.377357893488
