StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,SetSpotlightCD=OFF,SetSpotlightCD=ON,SetZ3Blinds=OFF,SetZ3Blinds=ON,SetZ3Light=OFF,SetZ3Light=ON,SetZ4Blinds=OFF,SetZ4Blinds=ON,SetZ4Light=OFF,SetZ4Light=ON,DO_NOTHING
3,-0.58,0.00,0.00,0.00,-0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.21,-0.33,0.00,0.00
5,0.00,0.00,-0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,-0.57
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.02,0.00,0.00,-0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0.00,2.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5133,0.00,0.00,0.00,24.43,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.10
10241,-0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,3.38,0.00,0.00,0.00,0.00,0.00
10242,0.00,0.00,0.00,0.00,-0.20,0.00,0.00,0.00,-0.20,0.00,0.00,0.00,0.00,0.00,-0.21,0.00,0.00,0.00,0.00,0.00,0.00
10244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.38,0.00,0.00,0.00,0.00,0.00
10245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.63,-0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.33
10249,0.00,0.00,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,-0.27
10252,0.00,0.00,0.00,0.00,0.00,2.41,0.00,0.00,-0.21,0.00,0.00,0.00,0.00,0.00,-0.20,0.00,0.00,0.00,0.00,0.00,-0.33
10253,0.00,0.00,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
