profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab1,pbrs_on,10,33.0,25.95,39.9
lab2,pbrs_on,10,1295.16406189637,1278.2460010122684,1312.4078386355961
lab3,pbrs_on,10,1377.8896847730834,1361.6238163062083,1393.5328738301168
