profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab1,pbrs_on,10,45.6,35.4,55.95
lab2,pbrs_on,10,1288.1663524800508,1270.1662672445584,1303.921793155274
lab3,pbrs_on,10,1342.7521152953484,1327.0890450991683,1357.5990123821325
