StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5145,0.00,33.05,0.00,-0.60,-8.10,16.90,26.78,-0.60,14.40,200.00,16.99,-0.49,0.00,1.20,0.00
5148,0.00,0.00,0.00,0.00,-7.39,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,20.00,0.00
5149,0.00,-0.60,0.00,-0.60,0.00,0.00,0.00,-0.60,0.00,20.00,0.00,0.00,0.00,0.00,0.00
5150,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5168,0.00,-0.60,-0.60,0.00,0.00,-1.10,-0.60,0.00,-0.60,-0.60,0.00,0.00,0.00,-0.60,-0.60
5169,-0.60,0.00,0.00,-0.60,0.00,-1.10,-0.60,0.00,0.00,0.00,13.64,0.00,-0.60,0.00,-0.60
5172,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
5176,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00
5177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.48,0.00,0.00,0.00,0.00
5181,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
5186,33.06,0.00,27.80,-0.60,0.00,200.00,3.44,14.40,0.00,-0.60,26.09,38.00,11.75,-0.60,-0.60
5190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,20.00,0.00,0.00,0.00
5194,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
5200,-0.60,-0.60,-0.60,-0.60,-8.10,-1.10,-0.65,-0.60,-0.60,0.00,-0.60,-0.60,-0.60,-0.60,-0.60
5201,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,0.00
5204,-0.60,0.00,-0.60,0.00,0.00,-1.10,-0.60,0.00,0.00,0.00,0.00,0.00,-0.60,20.00,0.00
5205,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
5208,0.00,0.00,0.00,0.00,-8.10,0.00,0.00,0.00,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00
5209,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,-0.60,0.00
5212,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5213,0.00,0.00,0.00,0.00,-4.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5229,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00
5240,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00
5241,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5245,0.00,0.00,0.00,-0.60,-1.10,-1.10,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5264,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00
5265,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,13.25,0.00,-0.60
5266,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5273,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,-0.60,-0.60
5296,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
5314,0.00,0.00,-0.60,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60
5328,-0.60,0.00,0.00,0.00,-8.10,0.00,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,-0.60,0.00
5329,0.00,0.00,0.00,54.20,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
5336,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,-0.60,0.00,0.00,1.20,0.00,0.00,0.00
5337,0.00,0.00,-0.60,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00
5368,0.00,0.00,-1.14,38.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00
5369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,-1.14
5392,-0.60,200.00,-1.14,0.17,-15.39,32.08,11.12,-0.60,0.00,27.94,0.00,-0.60,2.28,-0.60,32.00
5393,0.00,0.00,0.00,-0.60,-8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00
5395,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00
5396,0.00,0.00,-0.60,-0.60,-7.39,-1.10,-0.60,-0.60,-0.60,-0.60,0.00,-0.60,-0.60,38.00,-0.60
5397,0.00,0.00,-0.60,0.00,0.00,-1.10,-0.60,-0.60,0.00,-0.60,0.00,0.00,0.00,20.00,0.00
5398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5424,0.00,20.00,-1.14,0.00,0.00,-2.09,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
5428,0.00,0.00,-0.60,0.00,0.00,0.00,-0.60,-0.60,0.00,-0.60,-0.60,0.00,-0.60,0.00,0.00
5442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
5456,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5460,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5461,-0.60,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,-0.60,0.00,-0.60,0.00,-0.60,0.00,-0.60
5488,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5492,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5520,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,14.40,0.00,-0.60
5521,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60
5523,0.00,0.00,0.00,0.00,-7.39,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,-0.60,0.00
5584,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,0.00
5585,-1.14,20.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,-0.60
5616,-0.60,20.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60
5617,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5767,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.94,0.00,0.00
6022,0.00,102.00,-14.05,0.00,13.51,0.00,16.47,10.20,0.00,0.00,12.70,10.20,-44.00,0.00,8.99
7433,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7465,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,-10.01,2.36,-0.35,0.00,0.00,0.00,0.00
7469,0.00,0.00,0.00,0.00,0.00,10.20,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
7496,0.00,0.00,0.00,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7497,0.00,0.00,-0.35,0.00,0.00,27.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00
7561,-14.05,0.00,8.83,0.00,8.68,102.00,2.64,0.15,0.00,8.60,0.00,0.00,-0.80,8.83,0.00
7563,0.00,0.00,0.00,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7625,-21.91,0.00,-0.35,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,-0.35,0.00
