StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5424,0,1,2,0,0,2,0,1,0,0,1,0,0,0,0
5428,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0
5442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5460,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5461,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1
5488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5492,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5520,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
5521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5523,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
5584,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5585,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1
5616,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
5617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5767,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6022,0,293,1,0,3,0,2,1,0,0,9,1,4,0,2
7433,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
7465,0,0,0,1,0,0,0,0,1,17,1,0,0,0,0
7469,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
7496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7497,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0
7561,1,0,1,0,1,295,1,1,0,1,0,0,3,1,0
7563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7625,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0
