StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5186,0.00,0.00,0.00,0.00,0.00,38.00,-4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60
5190,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.14
5200,-0.60,0.00,0.00,-0.60,-4.95,-1.10,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
5201,0.00,0.00,0.00,0.00,14.55,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,0.00
5204,0.00,0.00,0.00,-0.60,-7.39,-1.10,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
5208,0.00,-0.60,0.00,0.00,0.00,-1.10,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5209,0.00,0.00,-0.60,-0.60,0.00,-1.10,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00
5212,0.00,0.00,0.00,0.00,-8.10,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
5221,0.00,0.00,-0.60,0.00,-1.10,0.00,0.00,0.00,-0.60,-0.60,-0.01,0.00,0.00,0.00,-0.60
5225,0.00,0.00,0.00,0.00,0.00,0.00,-3.75,-0.60,-0.60,-0.60,0.00,0.00,-0.60,0.00,-0.60
5232,0.00,-0.60,-0.60,0.00,-8.10,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
5233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
5236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
5392,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60
5393,0.00,0.00,0.00,0.00,-8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
5396,0.00,0.00,-0.60,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5424,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00
5425,-0.60,0.00,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00
5456,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5460,-0.60,-0.60,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,-0.60,0.00,-0.60,0.00,-0.60
5465,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
5477,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,9.95,0.00
5481,0.00,0.00,0.00,-0.60,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.95,0.00
5488,0.00,0.00,0.00,0.00,-8.10,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
5492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
5497,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5760,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00
5761,0.00,-0.35,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5763,0.00,0.00,0.00,0.00,-0.35,27.64,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5765,0.00,-0.35,0.00,-0.35,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,-14.05,0.00,0.00
5773,0.00,0.00,0.00,0.00,0.00,0.00,-0.23,0.00,0.00,0.00,0.27,0.00,-14.05,1.57,0.00
5792,0.00,0.00,0.00,0.00,0.00,19.38,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,-0.10
5825,0.00,-0.35,2.14,-0.35,0.00,102.00,0.00,7.45,-0.35,0.21,8.60,0.00,-3.60,0.00,2.39
5829,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00
5833,0.00,0.00,8.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5836,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00
5861,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,-0.34,0.00,0.00,0.00,0.00,0.00
5868,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00
6016,0.00,0.00,0.00,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6017,0.00,8.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6018,-0.35,0.25,-0.35,1.62,-0.67,0.00,-0.35,10.20,0.00,-0.35,0.00,102.00,-26.63,4.45,0.00
6021,-0.35,16.43,8.83,102.00,0.00,0.00,3.41,-0.35,-0.35,0.00,9.33,0.15,-25.44,0.45,0.00
6022,0.00,-0.22,0.00,0.00,-0.22,0.00,-0.22,19.38,0.00,-0.22,1.70,0.00,0.00,0.00,0.00
6026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,27.64,0.00,0.00,0.00
6027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6049,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6053,-0.35,0.00,0.00,0.00,-0.35,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6081,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,-0.35,13.07,0.00,0.00,0.00,0.00,0.00,0.00
6085,-0.35,0.00,-0.35,0.00,0.00,10.20,0.00,-0.35,0.00,-0.35,0.00,0.00,0.00,0.00,0.00
6089,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00
6117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00
6121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00
7437,-14.05,0.00,-11.66,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
