StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0.00,0.00,27.25,-0.86,3.63,129.50,16.31,-0.36,0.00,0.00,8.98,0.26,11.55,3.95,19.85
1,2.69,-0.37,0.00,-0.87,4.88,3.95,0.00,118.05,1.84,0.00,0.00,1.95,0.48,3.95,3.48
2,10.58,-0.55,11.10,-0.55,0.00,129.50,0.00,8.41,10.31,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,6.74,-0.15,4.15,8.41,8.22,100.00,0.00,-0.55,7.73,19.00,8.94,13.22,7.90
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,3.88,0.00,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,3.95,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,13.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00
9,-0.55,-0.55,0.00,-0.55,-0.55,0.00,-0.55,0.00,0.00,0.00,-0.05,6.19,0.00,0.00,-0.30
10,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,3.95,-0.05,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,19.00,0.00,0.00,0.00
13,-0.55,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,8.41,-0.30
64,0.00,0.00,0.14,0.00,0.00,0.00,26.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,0.00,0.00,-0.55,0.00,0.00,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.95,0.00
257,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00
258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.00,0.00,-0.10,0.00,0.00
259,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
261,0.00,0.00,0.00,27.10,0.00,0.00,0.00,0.00,-0.55,1.16,0.00,0.00,0.00,0.00,0.00
265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.95,0.00
