StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0.00,0.00,10.25,0.00,15.08,120.05,3.53,-0.05,0.00,0.42,10.20,-0.55,1.30,-0.55,0.00
1,0.00,0.57,4.27,-0.42,3.84,120.05,3.91,0.00,-0.05,0.00,5.08,0.00,0.91,0.00,5.29
2,11.60,-0.05,0.00,-0.69,-0.19,0.00,0.00,129.50,9.52,0.00,0.00,0.00,8.85,0.00,0.00
3,0.00,-0.05,21.22,-0.55,0.35,3.95,0.00,10.00,1.66,-0.05,0.00,100.00,0.00,-1.05,7.72
4,0.00,0.00,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5,0.00,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.55,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0.00,0.00,11.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.48,-0.55,0.00,-0.30
10,0.00,-0.05,0.00,-0.55,0.00,0.00,-0.05,3.95,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,-0.30
12,0.00,0.00,0.00,0.00,0.00,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,-0.55,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,3.95,-0.05,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00
