StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0,2,0,1,6,295,1,0,0,1,0,1,0,0,1
1,0,0,1,2,1,293,0,0,0,3,0,0,1,2,1
2,1,1,0,2,0,289,0,4,2,1,0,2,0,1,1
3,0,1,2,2,2,294,1,0,2,1,0,1,1,1,0
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
256,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
257,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5136,2,290,2,2,0,0,2,1,0,0,2,2,1,0,0
5137,0,1,0,288,0,1,0,3,1,0,2,1,2,1,1
5138,3,0,2,0,0,0,1,285,0,0,0,2,1,2,0
5139,1,1,0,1,0,2,3,0,0,0,0,292,1,0,2
5140,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5141,0,0,1,1,0,0,1,4,0,0,0,2,0,283,0
5142,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5144,0,2,1,1,0,1,0,0,1,290,1,0,0,1,0
5145,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5146,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5147,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5151,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5154,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5168,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
5169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5172,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5173,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5186,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5201,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
5205,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5209,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5221,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5233,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5237,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0
5241,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5265,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
5266,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5272,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5337,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5392,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5393,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5394,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5396,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5397,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5460,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5521,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6022,0,296,0,1,1,1,0,1,0,1,1,2,0,2,0
7561,1,1,0,297,2,2,2,0,0,0,1,0,0,0,0
