StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5186,0.00,0.00,0.00,0.00,0.00,19.00,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5190,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57
5200,-0.05,0.00,0.00,-0.05,-2.43,-0.55,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
5201,0.00,0.00,0.00,0.00,7.05,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5204,0.00,0.00,0.00,-0.05,-3.69,-0.55,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
5208,0.00,-0.05,0.00,0.00,0.00,-0.55,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5209,0.00,0.00,-0.05,-0.05,0.00,-0.55,0.00,0.00,-0.05,0.00,-0.55,0.00,0.00,0.00,0.00
5212,0.00,0.00,0.00,0.00,-4.05,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00
5221,0.00,0.00,-0.05,0.00,-0.55,0.00,0.00,0.00,-0.05,-0.05,0.08,0.00,0.00,0.00,-0.30
5225,0.00,0.00,0.00,0.00,0.00,0.00,-1.87,-0.05,-0.05,-0.05,0.00,0.00,-0.55,0.00,-0.30
5232,0.00,-0.05,-0.05,0.00,-4.05,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
5233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
5236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5392,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.30
5393,0.00,0.00,0.00,0.00,-4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
5396,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5424,-0.05,0.00,-0.05,0.00,0.00,0.00,0.00,-0.05,0.00,-0.05,0.00,0.00,-0.55,0.00,0.00
5425,-0.05,0.00,-0.05,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00
5456,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5460,-0.05,-0.05,-0.05,0.00,0.00,0.00,-0.05,0.00,0.00,-0.05,-0.55,0.00,-0.55,0.00,-0.30
5465,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
5477,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,10.00,0.00
5481,0.00,0.00,0.00,-0.05,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
5488,0.00,0.00,0.00,0.00,-4.05,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
5492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
5497,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5760,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00
5761,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5763,0.00,0.00,0.00,0.00,0.20,0.54,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
