StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5145,0.00,16.05,0.00,-0.05,-4.05,8.45,12.92,-0.55,6.95,100.00,8.75,0.03,0.00,0.85,0.00
5148,0.00,0.00,0.00,0.00,-3.69,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,10.00,0.00
5149,0.00,-0.55,0.00,-0.05,0.00,0.00,0.00,-0.55,0.00,10.00,0.00,0.00,0.00,0.00,0.00
5150,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5168,0.00,-0.55,-0.05,0.00,0.00,-0.55,-0.55,0.00,-0.55,-0.55,0.00,0.00,0.00,-0.05,-0.30
5169,-0.55,0.00,0.00,-0.05,0.00,-0.55,-0.55,0.00,0.00,0.00,6.85,0.00,-0.05,0.00,-0.30
5172,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
5176,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00
5177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.71,0.00,0.00,0.00,0.00
5181,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00
5186,16.05,0.00,14.38,-0.05,0.00,100.00,1.72,6.95,0.00,-0.55,13.52,19.00,6.13,-0.05,-0.30
5190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,10.00,0.00,0.00,0.00
5194,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00
5200,-0.55,-0.55,-0.05,-0.05,-4.05,-0.55,-0.60,-0.55,-0.55,0.00,-0.05,-0.05,-0.05,-0.05,-0.30
5201,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,0.00
5204,-0.55,0.00,-0.05,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00,-0.05,10.00,0.00
5205,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
5208,0.00,0.00,0.00,0.00,-4.05,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00
5209,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,0.00,-0.05,0.00,-0.05,0.00
5212,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5213,0.00,0.00,0.00,0.00,-2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5229,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.05,0.00,0.00,0.00,0.00
5240,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00
