StateIndex,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0,1,1,0,331,0,2,1,3,1,2,1,1,3
1,0,0,2,302,1,0,0,0,0,0,0,2,1
2,0,1,1,305,1,0,0,0,3,3,1,0,1
3,0,0,0,5,0,0,0,0,0,0,0,0,0
4,0,0,0,12,0,0,0,0,0,0,0,0,0
5,0,0,0,8,0,1,0,0,0,0,0,0,1
6,0,0,0,10,0,0,0,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0,0,0
16,0,0,0,8,0,0,0,0,0,0,1,0,0
20,0,0,0,8,0,0,0,0,0,0,0,0,0
32,0,1,0,6,0,0,0,0,0,0,0,0,0
36,0,0,0,5,0,0,0,0,0,0,0,0,0
48,0,0,0,5,0,0,0,0,0,0,0,0,0
52,0,0,0,4,0,0,0,0,0,0,0,0,0
128,0,0,0,7,0,0,1,0,0,0,0,0,0
129,0,0,0,4,0,0,0,0,0,0,0,0,0
130,0,0,0,8,0,0,0,0,0,0,0,0,0
131,0,0,0,7,0,0,0,0,0,0,0,0,0
144,0,0,0,5,0,0,0,0,0,0,0,0,0
160,0,0,0,7,0,0,0,0,0,0,0,0,0
176,0,0,0,2,0,0,0,0,0,0,0,0,0
1297,0,0,0,7,0,0,0,0,0,0,0,0,0
1301,0,0,0,6,0,0,0,0,0,0,0,0,0
1313,0,0,0,11,0,0,0,0,0,0,0,0,0
1317,0,0,0,5,1,0,0,0,0,0,0,0,0
1425,0,0,0,3,0,0,0,0,0,0,0,0,0
1441,1,0,1,8,0,0,0,1,0,0,0,0,0
2568,1,2,0,2,0,1,1,1,0,0,2,328,1
2569,1,0,1,0,0,3,1,3,1,1,0,298,0
2570,0,0,0,2,1,304,0,1,1,0,2,1,2
2571,0,0,0,0,0,0,2,0,0,6,0,0,0
2572,0,0,0,0,0,0,0,0,0,0,0,14,0
2573,0,0,0,0,0,0,0,10,0,0,0,0,0
2574,0,0,1,1,0,0,0,0,0,11,0,0,0
2575,0,0,0,0,0,0,0,3,0,0,0,0,0
2578,0,0,0,7,0,0,0,0,0,0,0,0,0
2582,0,0,0,3,0,0,0,0,0,0,0,0,0
2584,0,0,0,0,0,0,0,0,0,0,0,10,0
2585,0,0,0,0,0,1,0,0,0,0,0,7,0
2588,0,0,0,0,0,0,0,0,0,0,0,10,0
2589,0,0,0,1,0,0,1,8,0,0,0,0,0
2594,0,0,0,2,0,0,0,0,0,0,0,0,0
2598,0,0,0,6,0,0,0,0,0,0,0,0,0
2600,0,0,0,0,0,2,0,0,0,0,0,9,0
2601,0,2,0,0,0,0,0,0,0,1,0,14,0
2604,0,0,0,0,0,0,0,9,0,0,0,0,0
2605,0,0,0,0,0,0,0,0,0,1,0,9,0
2609,0,0,0,6,0,0,0,0,0,0,0,0,0
2613,0,0,0,4,0,0,0,0,0,0,0,0,0
2616,0,0,0,0,0,0,0,0,0,0,0,5,0
2617,0,11,0,1,0,0,0,0,0,0,0,0,1
2620,0,0,0,0,0,0,0,6,0,1,0,0,0
2621,1,0,0,0,0,0,0,0,0,0,1,16,0
2696,0,0,0,1,0,0,0,0,0,0,0,11,0
2697,0,6,0,0,0,0,0,0,0,2,0,0,0
2698,0,0,0,0,0,0,0,0,0,10,0,0,0
2699,0,0,0,0,0,9,0,0,0,0,0,0,0
2706,0,0,0,7,0,0,0,0,0,0,0,0,0
2712,0,0,0,0,1,0,0,0,0,0,0,6,0
2713,0,0,0,0,0,0,0,0,0,0,0,7,0
2722,0,0,0,5,0,0,0,0,0,0,0,0,0
2728,0,0,0,0,0,0,0,0,0,0,0,8,0
2729,0,0,0,0,0,0,0,0,0,0,0,9,0
2737,0,0,0,3,0,0,0,0,0,0,0,0,0
2744,0,0,0,0,0,0,0,0,0,0,0,2,0
2745,0,5,0,0,0,0,0,0,0,0,0,0,0
2880,0,12,0,0,0,0,0,0,0,0,32,0,1
2881,0,13,0,0,0,0,0,0,0,0,1,0,0
2882,0,10,0,0,0,0,0,0,0,0,0,1,0
2883,0,7,0,0,0,0,0,0,0,0,0,0,0
2884,32,0,1,0,0,1,0,1,0,0,1,0,8
2885,7,1,2,2,0,1,0,0,1,5,1,1,310
2886,7,0,0,0,0,0,0,0,0,7,1,0,2
2887,0,0,0,0,0,0,0,0,0,15,1,0,1
2896,0,8,0,0,0,0,0,0,0,0,0,0,0
2897,0,7,0,0,0,0,0,0,0,0,0,0,0
2900,0,0,0,0,0,0,1,1,10,0,0,0,0
2901,0,0,1,1,0,0,0,0,17,0,0,1,1
2912,0,12,1,0,4,0,0,0,0,0,1,0,1
2913,0,12,0,0,1,0,0,0,0,0,1,0,0
2916,14,0,0,0,10,0,0,1,0,0,1,0,12
2917,12,0,0,0,4,0,1,0,1,0,1,0,128
2928,1,12,0,0,3,0,0,0,0,0,0,0,0
2929,0,3,0,0,0,0,0,0,0,0,0,0,0
2932,9,0,0,0,1,0,0,0,9,1,0,0,1
2933,0,0,0,0,0,0,0,0,10,0,0,1,0
3008,0,6,0,0,0,0,0,0,0,0,0,0,0
3009,0,6,0,0,0,1,0,0,0,0,0,0,0
3010,0,7,0,0,0,0,0,0,0,0,0,0,0
3011,0,5,0,0,0,0,1,0,0,0,0,0,0
3024,0,7,0,0,0,0,0,0,0,0,0,0,0
3025,0,4,0,0,0,0,0,0,0,0,0,0,0
3040,0,6,0,0,0,0,0,0,0,0,0,0,0
3041,0,5,0,0,0,0,0,0,0,0,0,0,0
3056,0,6,0,0,0,0,0,0,0,0,0,0,0
3057,0,5,0,0,0,0,0,0,0,0,0,0,0
3716,1,0,0,0,0,1,1,0,0,0,0,0,123
3717,1,4,2,2,2,12,3,0,3,2,2,310,27
3718,1,0,0,0,0,5,1,0,0,0,0,0,1
3719,1,0,0,1,0,0,0,0,0,0,0,0,1
3732,1,0,0,0,0,0,1,0,2,0,0,0,4
3733,1,1,0,0,0,4,1,0,8,0,0,0,36
3748,1,0,0,0,5,0,1,0,0,0,0,0,2
3749,1,0,0,0,17,0,0,1,1,1,0,0,2
3764,0,0,0,0,3,0,1,0,1,0,0,0,0
3765,0,0,0,0,10,0,0,0,0,0,0,0,0
