StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2696,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00
2697,0.00,0.00,0.00,0.00,0.00,0.00,17.34,0.00,0.00,0.00,0.00,0.00,0.00
2698,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.02,-0.59,0.00,0.00
2699,0.00,0.00,0.00,0.00,0.00,130.92,0.00,0.00,-0.59,0.00,0.00,0.00,0.00
2706,-0.59,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,-7.54,-0.59,0.00,82.31,0.00
2712,0.00,54.47,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00
2713,0.00,0.00,-3.82,0.00,-0.59,0.00,0.00,-0.59,0.00,0.00,0.00,114.48,0.00
2728,-0.59,173.85,-8.27,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,-0.59
2729,0.00,0.00,11.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2737,0.00,52.30,0.00,0.72,0.00,-0.59,-0.59,0.00,0.00,-0.59,-0.59,0.00,-0.59
2744,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.78,0.00,0.00,0.00,0.00
2745,0.00,0.00,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00
2880,2.15,-0.35,-0.35,102.50,0.00,-0.35,8.87,-0.35,0.00,0.00,6.81,0.00,9.09
2881,0.00,-0.35,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,11.09,-0.10
2882,0.00,0.00,0.00,0.00,0.00,10.25,-0.35,0.00,0.00,0.00,0.00,0.00,0.00
2883,-0.33,0.00,0.00,79.05,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00
