StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
5737,0.00,0.00,0.00,0.00,-0.30,0.00,0.00,0.00,0.16,4.38,0.00,0.00,0.00,0.00,0.00
5744,0.00,0.00,0.00,0.00,0.00,10.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5745,0.00,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00
5752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.61,0.00,0.21,0.16,0.00,0.00
5753,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,0.00
7296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,10.25,0.00
7297,0.00,0.00,0.00,0.00,8.84,0.00,0.00,0.94,-0.35,-0.35,0.00,0.00,0.00,0.00,0.00
7298,8.88,10.25,9.38,102.50,0.00,0.16,-7.84,0.00,11.34,19.47,7.76,0.00,0.58,0.00,0.00
7299,0.00,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7304,0.00,0.00,9.16,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.03,0.00
7312,0.00,0.00,0.00,0.00,0.00,8.04,-14.27,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7313,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.76,-0.35,0.00,-0.35,0.00,-0.35,0.00,0.00
7320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.47,0.00,0.00,0.00
7321,-0.35,0.00,0.00,0.00,2.43,0.00,-8.38,0.00,0.00,-0.28,0.00,0.00,0.00,0.00,-0.10
7424,0.00,102.50,3.33,2.88,-6.71,2.65,0.00,0.16,0.00,-0.35,11.42,10.25,0.00,10.25,-0.10
7425,0.00,19.47,0.00,0.90,-5.78,24.68,0.00,0.00,0.00,0.31,10.82,102.50,29.54,10.25,13.76
7426,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,53.47,0.00,0.00,0.00
7427,0.00,0.00,0.00,0.00,0.00,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.47,0.00,0.00,0.00
7433,0.31,0.00,0.00,1.54,0.00,13.51,0.00,0.00,0.00,-0.35,-0.11,0.00,0.00,0.00,0.17
7440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.00,0.00,-0.10
7441,0.00,0.00,34.81,0.91,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,-0.35,0.00,0.00
7448,0.00,0.00,0.00,2.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,-0.10
7449,-0.35,0.00,8.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
7552,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.00
7553,0.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7554,0.00,0.00,0.00,0.00,0.00,0.00,7.85,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00
7555,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,-0.10
7560,0.00,0.00,0.00,2.65,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00
7561,0.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7568,0.00,0.00,0.00,0.00,4.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.06
7569,0.00,0.00,5.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7576,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.00
7577,-0.35,0.00,3.62,0.00,0.00,0.00,0.00,0.00,-0.24,0.00,0.00,0.00,0.00,0.00,-0.10
